Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,
Sales -,"1,16,915","1,28,756","1,43,323","1,56,898","1,39,590","1,57,980","1,49,302","1,53,302","1,36,492","88,253","1,11,236","1,17,860"
YOY Sales Growth %,37.83%,54.25%,56.67%,57.20%,19.39%,22.70%,4.17%,-2.29%,-2.22%,-44.14%,-25.50%,-23.12%
Expenses -,"98,446","1,08,095","1,22,215","1,35,581","1,18,437","1,36,365","1,27,150","1,30,553","1,14,487","71,378","92,291","96,294"
Material Cost %,70%,70%,70%,71%,66%,70%,67%,69%,66%,54%,64%,61%
Employee Cost %,2%,2%,2%,2%,2%,2%,2%,3%,3%,4%,3%,4%
Operating Profit,"18,469","20,661","21,108","21,317","21,153","21,615","22,152","22,749","22,005","16,875","18,945","21,566"
OPM %,16%,16%,15%,14%,15%,14%,15%,15%,16%,19%,17%,18%
Other Income,"2,203","1,788","1,251","2,484","2,894","2,871","3,668","3,162",-386,"9,676","4,354","4,407"
Interest,"2,566","3,550","3,932","4,119","4,894","5,109","5,450","5,404","6,064","6,735","6,084","4,326"
Depreciation,"4,852","5,173","5,229","5,237","5,295","5,011","5,315","5,545","6,332","6,308","6,626","6,665"
Profit before tax,"13,254","13,726","13,198","14,445","13,858","14,366","15,055","14,962","9,223","13,508","10,589","14,982"
Tax %,29%,31%,28%,28%,25%,29%,25%,21%,29%,2%,0%,1%
Net Profit,"9,438","9,459","9,516","10,251","10,362","10,104","11,262","11,640","6,348","13,233","9,567","13,101"
EPS in Rs,13.97,14,14.07,15.16,15.33,14.94,16.66,17.21,9.39,20.87,15.09,20.67
