"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","772.60","776.60","745.00","760.75","749.05","750.60","760.49","799.00","286.00",16343307,"12,428,997,180.05",215516
"10-Mar-2021","EQ","750.50","765.70","749.15","745.45","759.20","760.75","757.88","799.00","286.00",13377990,"10,138,855,902.25",174204
"09-Mar-2021","EQ","758.70","758.70","740.00","743.30","744.60","745.45","748.48","799.00","286.00",18951683,"14,185,043,296.30",276230
"08-Mar-2021","EQ","735.00","752.50","732.00","730.75","745.00","743.30","744.17","799.00","286.00",13898556,"10,342,892,342.15",177509
"05-Mar-2021","EQ","732.00","744.10","720.50","736.80","734.50","730.75","732.57","799.00","286.00",16358252,"11,983,639,389.60",208331
"04-Mar-2021","EQ","731.10","751.45","731.10","753.95","737.00","736.80","740.10","799.00","286.00",16896947,"12,505,418,411.35",189661
"03-Mar-2021","EQ","740.50","760.80","735.10","731.25","751.90","753.95","750.05","799.00","286.00",13603791,"10,203,508,442.55",194215
"02-Mar-2021","EQ","730.45","740.50","722.00","728.55","730.85","731.25","730.29","799.00","286.00",14503453,"10,591,763,865.15",184648
"01-Mar-2021","EQ","738.00","743.50","722.25","724.80","730.45","728.55","732.35","799.00","286.00",14301187,"10,473,445,936.95",206937
"26-Feb-2021","EQ","746.00","758.70","718.65","770.65","725.35","724.80","735.47","799.00","286.00",31306177,"23,024,807,933.40",359614
"25-Feb-2021","EQ","765.00","783.50","762.15","749.40","769.00","770.65","774.88","799.00","286.00",26635119,"20,639,063,649.95",367784
"24-Feb-2021","EQ","722.00","754.90","717.05","715.95","752.80","749.40","733.80","799.00","286.00",11207286,"8,223,949,091.65",138731
"23-Feb-2021","EQ","732.35","734.95","712.60","719.45","718.00","715.95","723.36","799.00","286.00",16804763,"12,155,823,546.10",209036
"22-Feb-2021","EQ","749.65","749.85","715.00","749.65","720.50","719.45","729.24","799.00","286.00",18123202,"13,216,169,445.80",246940
