"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","10,081.50","10,216.10","9,840.00","9,991.45","9,930.00","9,934.10","10,050.34","10,579.00","3,985.30",454348,"4,566,350,874.55",54691
"10-Mar-2021","EQ","10,025.00","10,094.70","9,930.60","9,969.15","9,975.00","9,991.45","10,005.19","10,579.00","3,985.30",244632,"2,447,590,073.00",34882
"09-Mar-2021","EQ","10,000.00","10,119.95","9,860.20","9,839.10","9,975.00","9,969.15","9,967.52","10,579.00","3,985.30",306211,"3,052,162,779.55",35492
"08-Mar-2021","EQ","9,970.00","10,045.65","9,805.30","9,958.10","9,826.90","9,839.10","9,909.09","10,579.00","3,985.30",264007,"2,616,069,646.80",32410
"05-Mar-2021","EQ","10,080.00","10,161.00","9,900.05","10,129.95","9,974.00","9,958.10","10,004.76","10,579.00","3,985.30",355126,"3,552,950,732.90",42614
"04-Mar-2021","EQ","10,150.00","10,280.00","10,077.75","10,395.60","10,148.00","10,129.95","10,172.36","10,579.00","3,985.30",412117,"4,192,201,456.65",50455
"03-Mar-2021","EQ","9,926.40","10,444.95","9,890.40","9,877.00","10,369.30","10,395.60","10,216.33","10,579.00","3,985.30",504122,"5,150,274,531.55",62530
"02-Mar-2021","EQ","9,850.00","9,965.00","9,779.10","9,774.05","9,870.55","9,877.00","9,867.15","10,579.00","3,985.30",297001,"2,930,552,085.45",36024
"01-Mar-2021","EQ","9,799.00","9,848.60","9,613.70","9,648.60","9,790.00","9,774.05","9,747.07","10,579.00","3,985.30",322437,"3,142,815,572.65",37510
"26-Feb-2021","EQ","9,950.00","10,114.70","9,600.00","10,264.45","9,640.25","9,648.60","9,798.54","10,579.00","3,985.30",846505,"8,294,510,387.25",90830
"25-Feb-2021","EQ","10,340.00","10,377.95","10,131.60","10,199.60","10,234.00","10,264.45","10,275.00","10,579.00","3,985.30",354802,"3,645,591,402.75",39408
"24-Feb-2021","EQ","10,030.00","10,250.00","10,015.05","10,008.65","10,201.00","10,199.60","10,124.46","10,579.00","3,985.30",269976,"2,733,362,366.65",32454
"23-Feb-2021","EQ","10,051.00","10,195.00","9,929.15","10,000.60","10,008.60","10,008.65","10,057.26","10,579.00","3,985.30",342610,"3,445,718,106.00",44432
"22-Feb-2021","EQ","10,230.00","10,249.20","9,960.15","10,250.45","9,984.80","10,000.60","10,104.83","10,579.00","3,985.30",426908,"4,313,831,132.05",44332
"19-Feb-2021","EQ","10,150.00","10,427.65","10,140.00","10,198.95","10,237.95","10,250.45","10,247.84","10,579.00","3,985.30",623343,"6,387,922,119.35",52771
"18-Feb-2021","EQ","10,310.00","10,310.00","10,135.00","10,185.65","10,200.00","10,198.95","10,195.83","10,579.00","3,985.30",434741,"4,432,545,757.00",48601
"17-Feb-2021","EQ","10,420.00","10,498.80","10,112.20","10,460.60","10,195.00","10,185.65","10,260.60","10,579.00","3,985.30",582259,"5,974,324,936.55",57424
"16-Feb-2021","EQ","10,500.00","10,532.00","10,361.00","10,537.70","10,460.00","10,460.60","10,444.86","10,579.00","3,985.30",358604,"3,745,569,816.70",34451
"15-Feb-2021","EQ","10,330.20","10,579.00","10,280.00","10,278.80","10,500.00","10,537.70","10,486.75","10,579.00","3,985.30",536406,"5,625,157,441.10",50301
"12-Feb-2021","EQ","10,250.00","10,331.15","10,168.00","10,216.65","10,300.00","10,278.80","10,236.92","10,417.90","3,985.30",380285,"3,892,947,648.40",38095
"11-Feb-2021","EQ","10,105.00","10,417.90","10,105.00","10,227.95","10,220.05","10,216.65","10,275.38","10,417.90","3,985.30",715538,"7,352,428,354.25",58617
"10-Feb-2021","EQ","9,901.00","10,354.60","9,901.00","9,941.65","10,215.15","10,227.95","10,205.70","10,354.60","3,985.30",1430667,"14,600,961,005.60",145592
"09-Feb-2021","EQ","10,067.00","10,068.00","9,882.00","10,021.05","9,918.00","9,941.65","9,964.07","10,110.00","3,985.30",512607,"5,107,652,284.25",61486
"08-Feb-2021","EQ","9,750.00","10,110.00","9,738.05","9,722.20","10,068.45","10,021.05","9,971.57","10,110.00","3,985.30",985855,"9,830,522,550.05",109921
"05-Feb-2021","EQ","9,780.00","9,940.00","9,556.00","9,700.55","9,705.00","9,722.20","9,738.97","9,990.00","3,985.30",922561,"8,984,790,613.45",82958
"04-Feb-2021","EQ","9,510.00","9,760.00","9,470.50","9,536.05","9,708.00","9,700.55","9,643.02","9,990.00","3,985.30",604727,"5,831,395,657.95",71531
"03-Feb-2021","EQ","9,561.60","9,639.30","9,435.35","9,476.30","9,555.00","9,536.05","9,512.18","9,990.00","3,985.30",623545,"5,931,271,603.90",55559
"02-Feb-2021","EQ","9,827.70","9,990.00","9,315.00","9,721.80","9,505.00","9,476.30","9,613.89","9,990.00","3,985.30",1394390,"13,405,505,925.00",135676
"01-Feb-2021","EQ","8,750.00","9,838.90","8,638.00","8,722.75","9,740.00","9,721.80","9,296.79","9,840.95","3,985.30",1565365,"14,552,862,242.00",144130
"29-Jan-2021","EQ","9,041.95","9,109.35","8,675.55","8,955.30","8,718.60","8,722.75","8,932.07","9,950.00","3,985.30",727352,"6,496,762,466.45",69955
"28-Jan-2021","EQ","9,020.00","9,215.25","8,817.60","9,126.10","8,932.00","8,955.30","9,000.96","9,950.00","3,985.30",844736,"7,603,433,362.00",80479
"27-Jan-2021","EQ","9,165.00","9,284.95","9,042.05","9,198.90","9,099.20","9,126.10","9,160.23","9,950.00","3,985.30",616631,"5,648,481,903.90",68285
"25-Jan-2021","EQ","9,144.00","9,344.90","9,080.00","9,071.00","9,190.00","9,198.90","9,216.03","9,950.00","3,985.30",781122,"7,198,845,470.80",77012
"22-Jan-2021","EQ","9,070.00","9,213.50","8,965.20","9,052.80","9,053.00","9,071.00","9,086.37","9,950.00","3,985.30",839822,"7,630,931,143.70",76812
"21-Jan-2021","EQ","8,995.00","9,388.85","8,950.50","8,938.25","9,063.00","9,052.80","9,241.60","9,950.00","3,985.30",1645377,"15,205,922,205.90",142622
"20-Jan-2021","EQ","8,938.00","9,025.00","8,838.00","8,924.15","8,934.90","8,938.25","8,950.74","9,950.00","3,985.30",786496,"7,039,725,045.90",72645
"19-Jan-2021","EQ","8,400.00","8,978.00","8,400.00","8,354.60","8,919.00","8,924.15","8,787.14","9,950.00","3,985.30",1379718,"12,123,777,808.15",105784
"18-Jan-2021","EQ","8,636.10","8,636.10","8,273.70","8,636.10","8,350.95","8,354.60","8,395.89","9,950.00","3,985.30",634436,"5,326,655,333.15",68153
"15-Jan-2021","EQ","8,754.80","8,826.20","8,610.00","8,747.35","8,630.00","8,636.10","8,703.75","9,950.00","3,985.30",519651,"4,522,914,238.90",52056
"14-Jan-2021","EQ","8,814.00","8,929.95","8,675.00","8,793.65","8,761.00","8,747.35","8,779.24","9,950.00","3,985.30",568437,"4,990,445,529.15",61345
"13-Jan-2021","EQ","9,004.80","9,030.00","8,710.15","8,959.00","8,784.65","8,793.65","8,856.10","9,950.00","3,985.30",514078,"4,552,726,742.25",47300
"12-Jan-2021","EQ","9,004.00","9,069.90","8,922.50","8,986.10","8,950.00","8,959.00","8,988.27","9,950.00","3,985.30",577045,"5,186,636,464.60",46888
"11-Jan-2021","EQ","9,201.00","9,262.00","8,955.00","9,171.60","9,004.00","8,986.10","9,068.29","9,950.00","3,985.30",542444,"4,919,041,222.00",48441
"08-Jan-2021","EQ","9,036.00","9,265.00","8,948.00","8,988.00","9,166.00","9,171.60","9,145.89","9,950.00","3,985.30",824261,"7,538,600,104.70",68802
"07-Jan-2021","EQ","8,820.00","9,069.00","8,812.00","8,786.35","8,970.05","8,988.00","8,958.00","9,950.00","3,985.30",601648,"5,389,563,901.65",54053
"06-Jan-2021","EQ","8,900.00","8,900.00","8,636.00","8,820.85","8,774.95","8,786.35","8,749.16","9,950.00","3,985.30",599193,"5,242,437,179.50",60429
"05-Jan-2021","EQ","8,900.05","8,920.00","8,736.95","8,898.75","8,833.50","8,820.85","8,816.62","9,950.00","3,985.30",486214,"4,286,764,893.90",50203
"04-Jan-2021","EQ","8,940.00","9,065.00","8,841.75","8,870.45","8,915.00","8,898.75","8,927.99","9,950.00","3,985.30",613306,"5,475,591,985.60",49888
"01-Jan-2021","EQ","8,930.00","8,958.70","8,840.00","8,906.35","8,870.20","8,870.45","8,900.40","9,950.00","3,985.30",288101,"2,564,215,465.20",23360
"31-Dec-2020","EQ","8,949.00","9,030.00","8,840.00","8,961.70","8,885.40","8,906.35","8,930.62","9,950.00","3,985.30",476050,"4,251,420,019.05",39943
"30-Dec-2020","EQ","9,000.00","9,020.95","8,921.00","8,976.05","8,954.00","8,961.70","8,971.45","9,950.00","3,985.30",491074,"4,405,647,097.65",42488
"29-Dec-2020","EQ","9,040.10","9,056.10","8,897.45","8,995.05","8,980.00","8,976.05","8,978.21","9,950.00","3,985.30",406601,"3,650,551,162.60",38836
"28-Dec-2020","EQ","9,064.65","9,115.00","8,965.00","8,992.55","8,986.70","8,995.05","9,035.67","9,950.00","3,985.30",344994,"3,117,250,457.90",36833
"24-Dec-2020","EQ","9,083.60","9,123.95","8,964.10","9,013.25","8,985.40","8,992.55","9,028.01","9,950.00","3,985.30",498397,"4,499,530,937.60",46597
"23-Dec-2020","EQ","8,900.00","9,140.00","8,880.00","8,938.85","9,006.10","9,013.25","9,029.22","9,950.00","3,985.30",575454,"5,195,901,412.15",51139
"22-Dec-2020","EQ","8,850.00","8,963.80","8,621.20","8,846.75","8,920.00","8,938.85","8,800.83","9,950.00","3,985.30",783296,"6,893,652,466.60",78365
"21-Dec-2020","EQ","9,189.00","9,245.00","8,569.65","9,215.60","8,795.00","8,846.75","9,006.53","9,950.00","3,985.30",713285,"6,424,221,745.10",68185
"18-Dec-2020","EQ","9,249.90","9,315.00","9,125.00","9,294.10","9,216.80","9,215.60","9,218.66","9,950.00","3,985.30",480333,"4,428,024,522.15",47619
"17-Dec-2020","EQ","9,257.70","9,399.90","9,208.00","9,257.70","9,281.00","9,294.10","9,308.28","9,950.00","3,985.30",550738,"5,126,425,024.35",50357
"16-Dec-2020","EQ","9,369.60","9,450.00","9,212.00","9,296.95","9,250.00","9,257.70","9,326.68","9,950.00","3,985.30",761170,"7,099,191,525.65",59184
"15-Dec-2020","EQ","8,925.00","9,338.90","8,870.00","8,933.50","9,307.00","9,296.95","9,141.29","9,950.00","3,985.30",1124527,"10,279,627,140.85",90858
"14-Dec-2020","EQ","9,066.80","9,066.80","8,895.15","8,995.05","8,914.90","8,933.50","8,971.83","9,950.00","3,985.30",444884,"3,991,424,674.95",48185
"11-Dec-2020","EQ","9,067.00","9,139.00","8,951.00","9,028.85","8,989.05","8,995.05","9,051.85","9,950.00","3,985.30",551456,"4,991,697,453.45",45297
"10-Dec-2020","EQ","9,010.65","9,074.00","8,939.00","9,010.65","9,033.70","9,028.85","9,010.16","9,950.00","3,985.30",466726,"4,205,275,996.05",36919
"09-Dec-2020","EQ","9,013.80","9,075.00","8,951.00","8,969.40","9,016.00","9,010.65","9,009.89","9,950.00","3,985.30",451818,"4,070,828,924.25",42642
"08-Dec-2020","EQ","9,056.00","9,080.00","8,901.00","9,051.95","8,965.00","8,969.40","8,987.74","9,950.00","3,985.30",583147,"5,241,171,097.45",53776
"07-Dec-2020","EQ","9,064.00","9,129.00","8,955.60","9,052.45","9,030.00","9,051.95","9,037.66","9,950.00","3,985.30",707405,"6,393,287,076.85",69830
"04-Dec-2020","EQ","9,159.00","9,234.50","8,970.00","9,114.05","9,052.00","9,052.45","9,109.54","9,950.00","3,985.30",1062443,"9,678,364,709.00",78634
"03-Dec-2020","EQ","8,831.00","9,191.20","8,811.10","8,802.20","9,139.00","9,114.05","9,010.53","9,950.00","3,985.30",1437048,"12,948,559,450.00",106935
"02-Dec-2020","EQ","8,750.00","8,879.50","8,661.65","8,746.55","8,788.50","8,802.20","8,766.95","9,950.00","3,985.30",884969,"7,758,481,201.00",74456
"01-Dec-2020","EQ","8,800.00","8,828.85","8,712.65","8,758.80","8,728.00","8,746.55","8,765.70","9,950.00","3,985.30",694283,"6,085,873,372.05",56244
"27-Nov-2020","EQ","8,844.95","8,934.45","8,680.00","8,806.70","8,712.00","8,758.80","8,824.35","9,950.00","3,985.30",1419350,"12,524,842,310.15",90546
"26-Nov-2020","EQ","8,740.00","8,842.00","8,671.00","8,717.75","8,831.00","8,806.70","8,750.65","9,950.00","3,985.30",1262234,"11,045,371,931.30",117742
"25-Nov-2020","EQ","8,940.00","9,009.00","8,642.75","8,859.70","8,690.00","8,717.75","8,875.18","9,950.00","3,985.30",1986153,"17,627,466,120.10",140354
"24-Nov-2020","EQ","8,819.90","8,908.00","8,695.10","8,774.35","8,869.00","8,859.70","8,812.84","9,950.00","3,985.30",1789862,"15,773,758,745.15",149499
"23-Nov-2020","EQ","8,710.00","8,982.65","8,621.00","8,542.60","8,700.10","8,774.35","8,788.34","9,950.00","3,985.30",3607587,"31,704,707,444.45",309075
"20-Nov-2020","EQ","7,843.00","8,588.65","7,843.00","7,823.40","8,548.80","8,542.60","8,258.00","9,950.00","3,985.30",4110412,"33,943,794,911.90",312959
"19-Nov-2020","EQ","7,789.95","8,199.90","7,750.00","7,789.95","7,803.00","7,823.40","8,004.76","9,950.00","3,985.30",3387040,"27,112,441,557.60",260576
"18-Nov-2020","EQ","7,372.00","7,845.00","7,320.40","7,365.35","7,841.00","7,789.95","7,593.42","9,950.00","3,985.30",1475637,"11,205,130,779.85",111284
"17-Nov-2020","EQ","7,361.00","7,407.60","7,251.00","7,335.55","7,379.00","7,365.35","7,344.70","9,950.00","3,985.30",1172544,"8,611,988,716.40",91233
"14-Nov-2020","EQ","7,350.00","7,444.00","7,250.00","7,261.10","7,282.00","7,335.55","7,366.78","9,950.00","3,985.30",316485,"2,331,474,608.70",25733
"13-Nov-2020","EQ","6,940.00","7,300.00","6,935.90","7,026.20","7,299.00","7,261.10","7,171.18","9,950.00","3,985.30",1654574,"11,865,251,483.05",120155
"12-Nov-2020","EQ","6,943.95","7,060.00","6,850.65","6,944.80","7,018.00","7,026.20","6,973.38","9,950.00","3,985.30",1280916,"8,932,316,727.65",90499
"11-Nov-2020","EQ","6,690.00","6,977.75","6,586.15","6,687.65","6,949.00","6,944.80","6,809.55","9,950.00","3,985.30",2542469,"17,313,074,540.40",211333
"10-Nov-2020","EQ","6,450.00","6,733.75","6,311.05","6,283.35","6,658.00","6,687.65","6,581.25","9,950.00","3,985.30",2170438,"14,284,193,504.55",172705
"09-Nov-2020","EQ","6,350.00","6,439.00","6,257.50","6,286.45","6,280.60","6,283.35","6,333.30","9,950.00","3,985.30",968156,"6,131,621,295.50",78543
"06-Nov-2020","EQ","6,025.00","6,350.00","6,025.00","6,055.15","6,266.00","6,286.45","6,240.77","9,950.00","3,985.30",1559339,"9,731,483,623.40",132225
"05-Nov-2020","EQ","5,855.00","6,080.60","5,845.25","5,811.85","6,057.30","6,055.15","5,981.19","9,950.00","3,985.30",848673,"5,076,074,620.55",88905
"04-Nov-2020","EQ","5,743.60","5,839.00","5,715.95","5,743.60","5,797.50","5,811.85","5,784.12","9,950.00","3,985.30",590961,"3,418,187,383.55",50493
"03-Nov-2020","EQ","5,752.00","5,810.00","5,696.70","5,701.45","5,743.00","5,743.60","5,752.63","9,950.00","3,985.30",575536,"3,310,847,137.60",49113
"02-Nov-2020","EQ","5,601.40","5,725.00","5,560.00","5,573.50","5,695.00","5,701.45","5,652.25","9,950.00","3,985.30",491399,"2,777,509,419.20",49144
"30-Oct-2020","EQ","5,650.00","5,680.00","5,511.05","5,623.95","5,550.00","5,573.50","5,581.95","9,950.00","3,985.30",526350,"2,938,061,234.90",48496
"29-Oct-2020","EQ","5,640.00","5,688.00","5,607.20","5,642.35","5,615.00","5,623.95","5,644.54","9,950.00","3,985.30",980842,"5,536,398,883.70",55923
"28-Oct-2020","EQ","5,678.00","5,743.00","5,605.00","5,667.25","5,670.20","5,642.35","5,678.32","9,950.00","3,985.30",658790,"3,740,818,809.40",61483
"27-Oct-2020","EQ","5,700.00","5,806.50","5,632.00","5,700.95","5,650.05","5,667.25","5,694.83","9,950.00","3,985.30",1550762,"8,831,327,889.45",109116
"26-Oct-2020","EQ","5,872.65","5,872.65","5,645.00","5,831.55","5,700.80","5,700.95","5,717.10","9,950.00","3,985.30",783118,"4,477,167,478.55",69699
"23-Oct-2020","EQ","5,934.85","5,962.00","5,823.85","5,873.40","5,833.00","5,831.55","5,881.75","9,950.00","3,985.30",646899,"3,804,897,705.40",61212
"22-Oct-2020","EQ","5,848.00","6,080.00","5,845.95","5,904.15","5,865.00","5,873.40","5,956.17","9,950.00","3,985.30",1229943,"7,325,752,754.30",115580
"21-Oct-2020","EQ","5,967.50","6,010.00","5,735.10","5,951.85","5,909.05","5,904.15","5,907.02","9,950.00","3,985.30",605561,"3,577,060,804.70",58946
"20-Oct-2020","EQ","5,972.00","6,025.00","5,911.25","5,981.10","5,946.00","5,951.85","5,966.99","9,950.00","3,985.30",311122,"1,856,462,753.45",31809
"19-Oct-2020","EQ","6,000.00","6,037.95","5,925.10","5,952.30","5,980.00","5,981.10","5,991.06","9,950.00","3,985.30",379685,"2,274,713,807.15",35829
"16-Oct-2020","EQ","5,939.70","5,980.00","5,866.00","5,899.05","5,959.00","5,952.30","5,935.08","9,950.00","3,985.30",476247,"2,826,565,379.55",43286
"15-Oct-2020","EQ","6,125.00","6,168.00","5,880.10","6,100.05","5,895.00","5,899.05","6,022.27","9,950.00","3,985.30",781990,"4,709,353,074.20",72409
"14-Oct-2020","EQ","5,870.00","6,145.00","5,855.05","5,867.65","6,108.10","6,100.05","6,005.88","9,950.00","3,985.30",1029536,"6,183,271,211.45",83530
"13-Oct-2020","EQ","5,900.00","5,914.50","5,825.00","5,912.75","5,870.00","5,867.65","5,869.13","9,950.00","3,985.30",365642,"2,146,001,511.50",29323
"12-Oct-2020","EQ","5,967.50","6,000.00","5,891.00","5,915.20","5,904.00","5,912.75","5,931.18","9,950.00","3,985.30",401483,"2,381,269,502.80",33964
"09-Oct-2020","EQ","5,885.00","6,014.00","5,870.00","5,871.95","5,920.00","5,915.20","5,929.72","9,950.00","3,985.30",659334,"3,909,664,071.20",49048
"08-Oct-2020","EQ","5,950.00","6,033.20","5,852.25","5,905.25","5,873.05","5,871.95","5,931.49","9,950.00","3,985.30",588982,"3,493,538,749.35",51229
"07-Oct-2020","EQ","5,920.00","5,938.00","5,820.00","5,995.40","5,915.00","5,905.25","5,888.26","9,950.00","3,985.30",581228,"3,422,420,930.20",57659
"06-Oct-2020","EQ","5,957.00","6,018.00","5,890.00","5,881.15","5,993.00","5,995.40","5,956.04","9,950.00","3,985.30",606115,"3,610,044,178.80",51228
"05-Oct-2020","EQ","6,090.00","6,169.50","5,857.80","6,053.60","5,885.00","5,881.15","5,988.25","9,950.00","3,985.30",737911,"4,418,793,539.90",67910
"01-Oct-2020","EQ","5,907.00","6,104.80","5,895.05","5,852.35","6,050.00","6,053.60","6,036.41","9,950.00","3,985.30",680757,"4,109,327,532.85",63319
