"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","5,600.00","5,670.00","5,521.00","5,545.05","5,538.05","5,557.85","5,602.09","5,822.20","1,783.00",2508013,"14,050,121,869.95",173343
"10-Mar-2021","EQ","5,440.00","5,561.00","5,440.00","5,415.05","5,538.00","5,545.05","5,512.54","5,822.20","1,783.00",2191250,"12,079,347,417.55",116304
"09-Mar-2021","EQ","5,371.00","5,445.00","5,335.00","5,320.65","5,414.00","5,415.05","5,398.33","5,822.20","1,783.00",1811496,"9,779,053,043.90",97784
"08-Mar-2021","EQ","5,469.00","5,493.95","5,311.00","5,444.90","5,330.00","5,320.65","5,370.49","5,822.20","1,783.00",1721042,"9,242,845,094.60",112381
"05-Mar-2021","EQ","5,440.00","5,519.75","5,402.10","5,485.90","5,454.00","5,444.90","5,451.36","5,822.20","1,783.00",2075760,"11,315,724,534.40",123323
"04-Mar-2021","EQ","5,430.00","5,567.15","5,401.00","5,542.90","5,492.00","5,485.90","5,494.77","5,822.20","1,783.00",2234698,"12,279,144,197.50",123075
"03-Mar-2021","EQ","5,364.15","5,573.35","5,340.10","5,316.30","5,544.00","5,542.90","5,451.92","5,822.20","1,783.00",2252413,"12,279,981,336.05",144003
"02-Mar-2021","EQ","5,300.00","5,410.00","5,262.05","5,266.80","5,313.50","5,316.30","5,327.07","5,822.20","1,783.00",2208634,"11,765,548,811.45",143114
"01-Mar-2021","EQ","5,315.00","5,369.90","5,195.00","5,264.90","5,279.00","5,266.80","5,282.19","5,822.20","1,783.00",2031881,"10,732,778,388.40",129864
"26-Feb-2021","EQ","5,430.00","5,454.00","5,221.00","5,529.95","5,243.55","5,264.90","5,307.79","5,822.20","1,783.00",3713326,"19,709,549,364.60",231050
"25-Feb-2021","EQ","5,601.00","5,619.95","5,511.35","5,562.90","5,540.00","5,529.95","5,554.96","5,822.20","1,783.00",1584595,"8,802,363,963.50",95002
"24-Feb-2021","EQ","5,444.00","5,578.90","5,383.00","5,383.70","5,556.85","5,562.90","5,508.93","5,822.20","1,783.00",1908795,"10,515,410,172.15",113509
"23-Feb-2021","EQ","5,420.00","5,504.65","5,350.00","5,376.85","5,360.00","5,383.70","5,423.47","5,822.20","1,783.00",2190245,"11,878,735,308.20",113673
"22-Feb-2021","EQ","5,480.00","5,538.70","5,334.75","5,497.95","5,350.00","5,376.85","5,411.35","5,822.20","1,783.00",2000563,"10,825,750,558.70",132228
"19-Feb-2021","EQ","5,560.00","5,621.95","5,425.00","5,563.35","5,499.00","5,497.95","5,529.82","5,822.20","1,783.00",2744456,"15,176,345,116.15",154750
"18-Feb-2021","EQ","5,699.00","5,714.75","5,522.20","5,705.15","5,564.00","5,563.35","5,591.20","5,822.20","1,783.00",2317513,"12,957,678,709.20",153582
"17-Feb-2021","EQ","5,730.00","5,799.00","5,670.00","5,760.25","5,696.00","5,705.15","5,734.60","5,822.20","1,783.00",2346395,"13,455,636,488.55",109776
"16-Feb-2021","EQ","5,791.40","5,822.20","5,690.30","5,779.85","5,768.00","5,760.25","5,739.31","5,822.20","1,783.00",2126810,"12,206,431,735.60",113930
"15-Feb-2021","EQ","5,605.35","5,799.00","5,600.00","5,577.45","5,777.00","5,779.85","5,731.57","5,799.00","1,783.00",3168826,"18,162,357,205.00",161491
"12-Feb-2021","EQ","5,570.00","5,618.00","5,532.05","5,567.05","5,576.00","5,577.45","5,571.32","5,665.00","1,783.00",1625268,"9,054,885,782.00",87616
"11-Feb-2021","EQ","5,470.00","5,588.00","5,455.75","5,475.90","5,570.00","5,567.05","5,552.08","5,665.00","1,783.00",2028947,"11,264,870,942.10",108051
"10-Feb-2021","EQ","5,434.70","5,502.35","5,395.00","5,400.30","5,493.00","5,475.90","5,444.46","5,665.00","1,783.00",2638012,"14,362,549,519.55",142815
"09-Feb-2021","EQ","5,537.50","5,539.00","5,382.60","5,497.70","5,409.80","5,400.30","5,438.14","5,665.00","1,783.00",2263904,"12,311,423,192.25",183383
"08-Feb-2021","EQ","5,542.00","5,665.00","5,475.30","5,538.55","5,495.75","5,497.70","5,594.35","5,665.00","1,783.00",2800809,"15,668,712,032.65",164203
"05-Feb-2021","EQ","5,526.00","5,627.00","5,470.00","5,504.85","5,522.00","5,538.55","5,541.96","5,627.00","1,783.00",4437987,"24,595,142,451.95",206223
"04-Feb-2021","EQ","5,214.00","5,543.00","5,206.05","5,245.10","5,505.00","5,504.85","5,393.93","5,543.00","1,783.00",5325888,"28,727,477,183.55",278477
"03-Feb-2021","EQ","5,218.60","5,270.00","5,140.00","5,173.20","5,248.15","5,245.10","5,226.65","5,372.50","1,783.00",2650783,"13,854,727,295.15",139498
"02-Feb-2021","EQ","5,100.00","5,337.95","5,094.90","5,058.60","5,172.00","5,173.20","5,223.45","5,372.50","1,783.00",4347993,"22,711,520,236.05",225976
"01-Feb-2021","EQ","4,775.00","5,080.00","4,666.50","4,734.55","5,075.00","5,058.60","4,902.27","5,372.50","1,783.00",4290745,"21,034,385,765.85",223331
"29-Jan-2021","EQ","4,886.70","4,950.00","4,707.10","4,810.25","4,732.15","4,734.55","4,852.55","5,372.50","1,783.00",4260795,"20,675,740,252.75",190990
"28-Jan-2021","EQ","4,779.55","4,909.00","4,723.10","4,845.00","4,800.00","4,810.25","4,825.59","5,372.50","1,783.00",3477329,"16,780,173,514.15",180461
"27-Jan-2021","EQ","4,921.30","4,945.60","4,811.00","4,908.70","4,825.00","4,845.00","4,857.86","5,372.50","1,783.00",2800493,"13,604,408,776.15",144175
"25-Jan-2021","EQ","5,049.00","5,163.00","4,890.00","4,972.55","4,903.00","4,908.70","5,024.40","5,372.50","1,783.00",3673060,"18,454,932,324.35",198164
