"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","530.55","532.75","521.55","525.85","524.00","524.20","527.94","623.00","361.75",11410264,"6,023,904,033.45",206133
"10-Mar-2021","EQ","520.20","530.50","516.35","521.75","526.00","525.85","523.89","623.00","361.75",18663334,"9,777,519,895.45",194438
"09-Mar-2021","EQ","530.10","532.00","514.30","525.70","522.40","521.75","521.98","623.00","361.75",19809833,"10,340,276,014.85",247460
"08-Mar-2021","EQ","531.00","535.45","524.75","532.80","525.25","525.70","528.93","623.00","361.75",15011518,"7,940,064,973.05",206029
"05-Mar-2021","EQ","535.00","538.50","524.40","539.60","533.80","532.80","532.15","623.00","361.75",16351700,"8,701,568,566.05",182600
"04-Mar-2021","EQ","540.00","546.00","538.00","546.30","539.95","539.60","540.38","623.00","361.75",17352483,"9,376,887,661.50",188724
"03-Mar-2021","EQ","548.75","550.75","540.00","541.20","546.85","546.30","546.32","623.00","361.75",24214390,"13,228,780,673.05",314197
"02-Mar-2021","EQ","540.50","544.00","528.85","532.20","541.95","541.20","536.23","623.00","361.75",30058411,"16,118,091,210.50",338203
"01-Mar-2021","EQ","558.00","559.10","521.00","556.30","532.80","532.20","532.76","623.00","361.75",54075848,"28,809,311,393.05",558647
"26-Feb-2021","EQ","574.50","585.95","551.75","579.15","553.70","556.30","559.68","623.00","361.75",194887984,"109,075,644,627.25",543213
"25-Feb-2021","EQ","579.90","584.45","577.05","572.95","580.10","579.15","580.68","623.00","361.75",15931134,"9,250,911,670.40",193708
"24-Feb-2021","EQ","568.10","574.10","565.20","565.55","573.90","572.95","570.87","623.00","361.75",8725136,"4,980,903,599.85",96467
"23-Feb-2021","EQ","575.00","577.00","564.00","570.30","567.00","565.55","571.18","623.00","361.75",23326447,"13,323,679,974.90",246360
"22-Feb-2021","EQ","582.00","584.90","568.00","581.35","569.00","570.30","577.72","623.00","361.75",19854892,"11,470,577,067.50",205271
"19-Feb-2021","EQ","590.00","596.00","575.50","589.05","581.50","581.35","587.31","623.00","361.75",19106404,"11,221,300,798.50",231192
"18-Feb-2021","EQ","597.00","598.00","585.20","593.85","589.25","589.05","591.31","623.00","361.75",21784559,"12,881,387,332.95",225068
"17-Feb-2021","EQ","596.95","598.80","590.05","593.95","598.00","593.85","594.02","623.00","361.75",16133750,"9,583,719,253.85",148002
"16-Feb-2021","EQ","595.00","601.60","593.00","593.70","593.45","593.95","597.29","623.00","361.75",14787224,"8,832,271,405.35",137273
"15-Feb-2021","EQ","592.10","603.00","590.00","586.25","593.55","593.70","597.31","623.00","361.75",17641523,"10,537,397,427.30",196034
"12-Feb-2021","EQ","597.85","597.85","584.60","598.10","585.90","586.25","590.92","623.00","361.75",15611939,"9,225,345,868.75",156237
"11-Feb-2021","EQ","592.00","603.55","589.00","590.20","594.55","598.10","598.59","623.00","361.75",18898771,"11,312,566,134.30",234354
"10-Feb-2021","EQ","604.95","607.75","580.25","598.95","589.30","590.20","590.97","623.00","361.75",31059522,"18,355,259,542.95",314607
"09-Feb-2021","EQ","598.90","607.75","595.00","597.30","601.00","598.95","601.64","623.00","361.75",20541765,"12,358,751,758.80",240538
"08-Feb-2021","EQ","589.00","603.65","584.70","581.10","597.25","597.30","596.42","623.00","361.75",21247165,"12,672,304,481.95",253809
"05-Feb-2021","EQ","603.80","605.90","576.25","600.60","584.20","581.10","585.16","623.00","361.75",34811620,"20,370,367,177.90",372792
"04-Feb-2021","EQ","614.90","623.00","595.65","608.85","599.80","600.60","605.85","623.00","361.75",51018799,"30,909,763,017.35",480812
"03-Feb-2021","EQ","609.40","622.50","599.45","599.35","611.90","608.85","613.31","622.50","361.75",30076561,"18,446,303,550.75",302042
"02-Feb-2021","EQ","584.90","605.65","579.25","579.15","600.80","599.35","593.59","612.00","361.75",21311866,"12,650,443,192.75",220843
"01-Feb-2021","EQ","559.00","581.10","549.20","553.60","580.00","579.15","566.42","612.00","361.75",13951025,"7,902,180,559.90",189069
"29-Jan-2021","EQ","578.50","578.50","550.60","570.90","552.25","553.60","560.51","612.00","361.75",25051621,"14,041,671,850.95",254371
"28-Jan-2021","EQ","566.50","575.85","562.75","570.80","572.40","570.90","569.72","612.00","361.75",14921448,"8,501,091,969.60",170888
"27-Jan-2021","EQ","580.00","581.75","562.35","580.75","570.90","570.80","573.12","612.00","361.75",15280757,"8,757,731,200.35",195096
"25-Jan-2021","EQ","579.00","587.85","569.55","576.85","579.35","580.75","580.67","612.00","361.75",12273498,"7,126,808,101.15",138024
"22-Jan-2021","EQ","583.90","585.55","572.75","581.35","578.50","576.85","579.63","612.00","361.75",12429589,"7,204,623,788.75",166361
"21-Jan-2021","EQ","600.25","604.05","574.40","596.15","585.15","581.35","590.56","612.00","361.75",17060331,"10,075,227,013.30",181028
"20-Jan-2021","EQ","592.30","602.50","589.00","592.30","596.30","596.15","596.29","612.00","361.75",13087294,"7,803,883,836.05",143148
"19-Jan-2021","EQ","591.10","597.45","586.50","586.95","591.45","592.30","593.22","612.00","361.75",10830923,"6,425,133,731.95",113605
"18-Jan-2021","EQ","602.65","603.00","584.00","602.65","584.50","586.95","593.11","612.00","361.75",20965905,"12,435,110,814.50",248064
"15-Jan-2021","EQ","609.55","610.65","593.80","580.55","603.50","602.65","601.78","612.00","361.75",56392307,"33,935,785,593.70",510948
"14-Jan-2021","EQ","582.70","584.80","570.05","578.25","579.30","580.55","578.26","612.00","361.75",16661518,"9,634,652,219.65",249335
"13-Jan-2021","EQ","588.00","601.70","567.00","565.75","576.30","578.25","586.01","612.00","361.75",83668562,"49,030,253,523.35",691695
"12-Jan-2021","EQ","549.00","569.00","545.00","547.15","568.75","565.75","559.81","612.00","361.75",25380555,"14,208,170,262.65",247319
"11-Jan-2021","EQ","541.50","554.35","541.50","540.25","546.20","547.15","548.55","612.00","361.75",19525604,"10,710,819,559.15",158909
"08-Jan-2021","EQ","549.30","549.75","537.30","545.25","540.00","540.25","542.82","612.00","361.75",14270435,"7,746,345,547.15",125210
"07-Jan-2021","EQ","532.00","554.45","527.10","525.30","544.15","545.25","544.18","612.00","361.75",38717913,"21,069,520,839.00",334312
"06-Jan-2021","EQ","515.00","531.75","513.10","514.00","528.20","525.30","525.27","612.00","361.75",30269288,"15,899,469,920.65",268788
"05-Jan-2021","EQ","514.00","516.90","511.10","517.10","513.55","514.00","514.07","612.00","361.75",10492428,"5,393,846,628.05",113527
"04-Jan-2021","EQ","517.00","520.50","511.60","515.15","517.05","517.10","516.17","612.00","361.75",13240524,"6,834,336,261.05",206776
"01-Jan-2021","EQ","512.25","516.40","508.20","509.70","515.00","515.15","511.92","612.00","361.75",10185843,"5,214,358,970.20",115803
"31-Dec-2020","EQ","517.10","518.45","506.30","516.15","509.50","509.70","511.71","612.00","361.75",15524994,"7,944,285,299.80",160584
"30-Dec-2020","EQ","523.40","523.40","513.30","520.25","516.00","516.15","516.11","612.00","361.75",10494434,"5,416,322,835.70",140094
"29-Dec-2020","EQ","523.00","524.95","515.10","521.60","520.65","520.25","520.49","612.00","361.75",11246474,"5,853,727,837.45",132122
"28-Dec-2020","EQ","520.10","527.00","516.60","517.30","521.50","521.60","522.37","612.00","361.75",12882390,"6,729,343,198.60",134281
"24-Dec-2020","EQ","520.00","523.00","510.45","507.20","516.25","517.30","517.81","612.00","361.75",20849597,"10,796,115,991.00",208082
"23-Dec-2020","EQ","500.30","509.50","498.40","500.30","507.00","507.20","503.97","612.00","361.75",13081361,"6,592,634,496.20",177939
"22-Dec-2020","EQ","494.00","505.00","485.55","490.90","500.35","500.30","498.24","612.00","361.75",21233811,"10,579,573,245.25",205917
"21-Dec-2020","EQ","507.50","511.20","480.15","510.65","490.80","490.90","496.79","612.00","361.75",15253094,"7,577,547,767.05",175878
"18-Dec-2020","EQ","513.90","514.90","505.05","515.10","510.00","510.65","510.29","612.00","361.75",10797760,"5,510,041,413.30",139048
"17-Dec-2020","EQ","517.00","522.50","512.00","516.20","514.00","515.10","516.61","612.00","361.75",19654749,"10,153,858,361.85",183941
"16-Dec-2020","EQ","504.20","518.80","502.10","504.20","518.30","516.20","509.87","612.00","361.75",17381441,"8,862,339,608.70",164008
"15-Dec-2020","EQ","505.85","506.80","498.10","503.05","504.25","504.20","502.65","612.00","361.75",13074733,"6,572,013,086.15",146690
"14-Dec-2020","EQ","507.00","512.00","501.15","504.40","502.70","503.05","504.79","612.00","361.75",13886923,"7,009,944,011.75",162325
"11-Dec-2020","EQ","508.50","508.50","497.30","505.15","505.10","504.40","504.23","612.00","361.75",13760737,"6,938,611,857.75",137007
"10-Dec-2020","EQ","501.50","508.75","494.10","503.05","504.70","505.15","501.69","612.00","361.75",13194186,"6,619,376,248.80",126519
"09-Dec-2020","EQ","504.90","506.90","499.10","503.60","502.75","503.05","502.84","612.00","361.75",11608846,"5,837,385,008.10",147016
"08-Dec-2020","EQ","514.00","516.25","499.65","508.95","502.95","503.60","506.57","612.00","361.75",19298806,"9,776,155,721.95",171688
"07-Dec-2020","EQ","498.00","510.50","494.60","493.75","509.50","508.95","503.24","612.00","361.75",22125752,"11,134,639,555.00",205788
"04-Dec-2020","EQ","486.85","497.80","483.40","479.90","494.50","493.75","492.11","612.00","361.75",31039563,"15,274,968,845.15",284386
"03-Dec-2020","EQ","487.10","489.15","474.00","484.90","479.90","479.90","480.22","612.00","361.75",19723853,"9,471,694,661.30",172391
"02-Dec-2020","EQ","481.00","487.90","474.05","479.45","484.20","484.90","481.44","612.00","361.75",20562558,"9,899,563,137.50",189680
"01-Dec-2020","EQ","467.75","482.50","460.50","463.25","479.20","479.45","474.19","612.00","361.75",18193356,"8,627,059,181.60",199549
"27-Nov-2020","EQ","468.30","472.65","462.00","468.40","465.00","463.25","465.57","612.00","361.75",18151096,"8,450,527,177.60",185490
"26-Nov-2020","EQ","468.70","469.65","460.10","464.10","469.00","468.40","465.71","612.00","361.75",11322533,"5,273,040,451.05",133329
"25-Nov-2020","EQ","476.50","477.90","458.65","474.25","464.30","464.10","467.61","612.00","361.75",14229948,"6,654,006,389.15",208648
"24-Nov-2020","EQ","478.40","481.25","471.20","477.25","475.50","474.25","475.07","612.00","361.75",9173967,"4,358,262,925.35",129133
"23-Nov-2020","EQ","486.75","486.75","475.10","483.70","476.75","477.25","479.21","612.00","361.75",10005675,"4,794,770,649.60",149571
"20-Nov-2020","EQ","470.50","485.95","465.35","468.55","483.15","483.70","475.15","612.00","361.75",11867647,"5,638,941,177.80",132087
"19-Nov-2020","EQ","476.00","481.45","467.00","478.40","468.40","468.55","473.25","612.00","361.75",11329235,"5,361,504,589.30",129354
"18-Nov-2020","EQ","483.95","485.00","471.10","484.55","477.80","478.40","477.45","612.00","361.75",10311000,"4,922,943,482.05",140865
"17-Nov-2020","EQ","490.90","494.95","481.25","481.50","484.50","484.55","487.48","612.00","361.75",18699305,"9,115,487,943.95",211335
"14-Nov-2020","EQ","487.00","487.00","479.00","475.75","479.90","481.50","482.61","612.00","350.30",3940508,"1,901,746,834.65",63522
"13-Nov-2020","EQ","477.00","478.00","470.00","479.85","477.25","475.75","474.37","612.00","350.30",8272841,"3,924,406,131.90",99267
"12-Nov-2020","EQ","476.85","483.20","475.05","478.60","479.00","479.85","479.90","612.00","350.30",14512799,"6,964,693,772.25",123986
"11-Nov-2020","EQ","467.95","481.35","464.05","466.40","477.50","478.60","473.30","612.00","350.30",15737416,"7,448,580,860.10",172984
"10-Nov-2020","EQ","474.00","474.15","465.00","471.80","467.00","466.40","468.15","612.00","350.30",9620279,"4,503,741,587.00",147987
"09-Nov-2020","EQ","456.30","474.75","452.55","449.90","473.00","471.80","465.43","612.00","350.30",24493687,"11,400,215,666.60",229825
