"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","457.00","464.00","451.00","445.50","459.10","457.55","457.39","482.40","252.00",26396386,"12,073,501,840.30",254463
"10-Mar-2021","EQ","451.00","451.90","442.05","445.90","445.95","445.50","446.62","482.40","252.00",11745802,"5,245,939,230.65",128874
"09-Mar-2021","EQ","446.20","454.00","437.35","466.70","445.45","445.90","440.96","482.40","252.00",199790953,"88,100,530,104.70",432637
"08-Mar-2021","EQ","462.00","472.95","461.80","461.80","467.20","466.70","468.28","482.40","252.00",5674769,"2,657,385,096.00",63190
"05-Mar-2021","EQ","463.00","474.45","458.10","463.90","463.50","461.80","467.48","482.40","252.00",8896513,"4,158,921,704.85",113603
"04-Mar-2021","EQ","462.00","472.65","459.25","466.35","464.50","463.90","466.34","482.40","252.00",6278311,"2,927,816,409.50",72087
"03-Mar-2021","EQ","480.00","480.00","462.30","469.00","466.35","466.35","467.96","482.40","252.00",8837642,"4,135,633,564.95",101677
"02-Mar-2021","EQ","474.50","482.40","462.00","455.25","470.00","469.00","472.96","482.40","252.00",26600333,"12,580,782,893.10",306906
"01-Mar-2021","EQ","456.00","463.85","450.10","449.85","455.90","455.25","457.00","481.00","252.00",6092750,"2,784,402,695.65",64196
"26-Feb-2021","EQ","454.95","466.35","440.25","461.55","449.90","449.85","454.09","481.00","252.00",18441539,"8,374,050,751.05",197233
"25-Feb-2021","EQ","441.95","467.80","441.85","438.70","461.30","461.55","457.51","481.00","252.00",18810829,"8,606,139,869.55",182077
"24-Feb-2021","EQ","440.00","445.00","436.10","435.25","438.50","438.70","441.15","481.00","252.00",5990683,"2,642,760,610.10",74754
"23-Feb-2021","EQ","428.00","442.70","425.80","422.55","437.35","435.25","436.76","481.00","252.00",14397828,"6,288,426,931.35",158597
"22-Feb-2021","EQ","429.30","435.25","418.00","430.00","418.80","422.55","429.08","481.00","252.00",9690341,"4,157,897,053.25",120772
"19-Feb-2021","EQ","437.00","444.80","423.50","432.20","429.30","430.00","434.07","481.00","252.00",24446305,"10,611,502,300.75",252409
"18-Feb-2021","EQ","415.35","434.35","410.70","411.70","431.00","432.20","424.20","481.00","252.00",20755494,"8,804,456,622.45",234653
"17-Feb-2021","EQ","404.50","413.90","401.55","417.95","413.60","411.70","407.79","481.00","252.00",8589431,"3,502,702,431.95",87482
"16-Feb-2021","EQ","417.80","422.60","416.20","419.00","418.30","417.95","418.35","481.00","252.00",5397662,"2,258,117,274.70",51091
"15-Feb-2021","EQ","422.80","424.90","417.00","418.10","419.45","419.00","421.09","481.00","252.00",5518776,"2,323,893,010.80",55954
"12-Feb-2021","EQ","423.00","425.85","414.60","421.95","418.20","418.10","420.10","495.55","252.00",5470945,"2,298,326,728.70",53873
"11-Feb-2021","EQ","415.00","422.85","414.30","415.80","421.90","421.95","418.65","495.55","252.00",5729659,"2,398,730,491.90",85125
"10-Feb-2021","EQ","422.20","424.95","409.05","419.35","416.00","415.80","416.15","495.55","252.00",9580296,"3,986,817,192.95",93016
"09-Feb-2021","EQ","431.00","438.05","416.65","420.05","419.35","419.35","426.80","495.55","252.00",22577022,"9,635,800,824.30",200533
"08-Feb-2021","EQ","420.00","424.40","416.00","415.00","420.00","420.05","420.16","495.55","252.00",6322827,"2,656,601,374.80",79568
"05-Feb-2021","EQ","420.50","422.30","413.10","418.55","415.40","415.00","416.79","510.00","252.00",3861284,"1,609,330,622.40",45703
