"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","3,491.90","3,493.85","3,425.00","3,480.35","3,435.00","3,434.25","3,453.71","4,010.00","2,100.00",344205,"1,188,784,725.50",30293
"10-Mar-2021","EQ","3,451.90","3,489.00","3,438.50","3,426.75","3,475.00","3,480.35","3,466.27","4,010.00","2,100.00",270942,"939,158,562.65",18840
"09-Mar-2021","EQ","3,473.50","3,489.15","3,397.35","3,463.20","3,438.50","3,426.75","3,433.80","4,010.00","2,100.00",589556,"2,024,419,132.40",45129
"08-Mar-2021","EQ","3,493.60","3,508.95","3,451.00","3,491.75","3,459.00","3,463.20","3,481.55","4,010.00","2,100.00",463984,"1,615,381,187.00",26984
"05-Mar-2021","EQ","3,486.00","3,506.65","3,460.75","3,501.90","3,492.90","3,491.75","3,488.70","4,010.00","2,100.00",612423,"2,136,562,883.80",43235
"04-Mar-2021","EQ","3,450.00","3,514.80","3,450.00","3,481.15","3,500.05","3,501.90","3,494.97","4,010.00","2,100.00",537283,"1,877,787,747.10",43577
"03-Mar-2021","EQ","3,460.00","3,487.15","3,435.00","3,447.95","3,477.15","3,481.15","3,468.71","4,010.00","2,100.00",409493,"1,420,411,878.25",29793
"02-Mar-2021","EQ","3,411.80","3,450.00","3,395.00","3,411.80","3,447.30","3,447.95","3,433.09","4,010.00","2,100.00",383968,"1,318,196,564.70",35798
"01-Mar-2021","EQ","3,371.50","3,420.00","3,367.05","3,363.75","3,412.00","3,411.80","3,393.96","4,010.00","2,100.00",377869,"1,282,472,164.00",26836
"26-Feb-2021","EQ","3,389.00","3,408.95","3,343.00","3,405.00","3,360.40","3,363.75","3,370.80","4,010.00","2,100.00",748717,"2,523,777,069.45",55541
"25-Feb-2021","EQ","3,420.00","3,425.70","3,374.60","3,405.55","3,407.50","3,405.00","3,398.64","4,010.00","2,100.00",586357,"1,992,818,895.70",50267
"24-Feb-2021","EQ","3,360.00","3,415.00","3,341.00","3,335.95","3,399.95","3,405.55","3,383.79","4,010.00","2,100.00",512568,"1,734,421,380.60",33085
"23-Feb-2021","EQ","3,349.80","3,368.00","3,325.30","3,341.20","3,340.00","3,335.95","3,342.70","4,010.00","2,100.00",484686,"1,620,158,230.95",36438
