"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","3,532.50","3,564.85","3,503.55","3,528.10","3,509.25","3,512.05","3,536.22","3,914.95","1,626.00",600323,"2,122,876,958.55",57379
"10-Mar-2021","EQ","3,510.00","3,543.85","3,482.25","3,503.20","3,530.00","3,528.10","3,522.62","3,914.95","1,626.00",421799,"1,485,836,480.30",37733
"09-Mar-2021","EQ","3,567.80","3,567.80","3,461.50","3,507.70","3,501.40","3,503.20","3,506.49","3,914.95","1,626.00",442271,"1,550,819,926.40",36144
"08-Mar-2021","EQ","3,522.35","3,548.95","3,501.00","3,496.90","3,507.90","3,507.70","3,523.27","3,914.95","1,626.00",372681,"1,313,057,467.75",26287
"05-Mar-2021","EQ","3,518.00","3,550.00","3,490.00","3,553.45","3,502.00","3,496.90","3,519.70","3,914.95","1,626.00",390702,"1,375,153,668.20",43060
"04-Mar-2021","EQ","3,550.00","3,571.00","3,494.05","3,565.15","3,555.75","3,553.45","3,542.38","3,914.95","1,626.00",640664,"2,269,473,535.05",46064
"03-Mar-2021","EQ","3,560.00","3,573.20","3,500.55","3,516.90","3,560.10","3,565.15","3,542.37","3,914.95","1,626.00",725617,"2,570,400,335.65",36533
"02-Mar-2021","EQ","3,470.00","3,521.95","3,455.50","3,461.55","3,518.25","3,516.90","3,487.18","3,914.95","1,626.00",724413,"2,526,160,633.25",52824
"01-Mar-2021","EQ","3,396.70","3,485.00","3,381.35","3,363.10","3,475.00","3,461.55","3,429.54","3,914.95","1,626.00",660836,"2,266,360,848.05",58564
"26-Feb-2021","EQ","3,419.50","3,485.90","3,326.40","3,440.05","3,364.00","3,363.10","3,397.50","3,914.95","1,626.00",1701176,"5,779,743,009.75",103872
"25-Feb-2021","EQ","3,477.25","3,513.50","3,432.00","3,480.05","3,436.40","3,440.05","3,468.70","3,914.95","1,626.00",876984,"3,041,996,565.25",66357
"24-Feb-2021","EQ","3,496.90","3,509.80","3,412.40","3,448.25","3,481.00","3,480.05","3,473.09","3,914.95","1,626.00",409153,"1,421,023,191.95",34143
"23-Feb-2021","EQ","3,485.00","3,519.00","3,440.85","3,496.65","3,445.00","3,448.25","3,467.84","3,914.95","1,626.00",511326,"1,773,198,409.95",47559
"22-Feb-2021","EQ","3,510.00","3,563.00","3,475.00","3,523.20","3,479.25","3,496.65","3,519.26","3,914.95","1,626.00",846786,"2,980,056,839.35",70420
"19-Feb-2021","EQ","3,588.00","3,605.00","3,490.00","3,587.65","3,534.00","3,523.20","3,544.81","3,914.95","1,626.00",745416,"2,642,358,577.25",51637
"18-Feb-2021","EQ","3,596.00","3,648.00","3,573.00","3,615.25","3,591.00","3,587.65","3,609.74","3,914.95","1,626.00",884937,"3,194,390,030.40",54963
"17-Feb-2021","EQ","3,672.00","3,675.00","3,590.00","3,686.50","3,595.00","3,615.25","3,634.73","3,914.95","1,626.00",691346,"2,512,858,207.00",47824
"16-Feb-2021","EQ","3,711.05","3,719.45","3,666.00","3,711.05","3,675.00","3,686.50","3,690.73","3,914.95","1,626.00",392393,"1,448,215,453.95",29664
"15-Feb-2021","EQ","3,721.00","3,749.75","3,702.00","3,719.40","3,707.60","3,711.05","3,724.06","3,914.95","1,626.00",426787,"1,589,379,319.25",32349
"12-Feb-2021","EQ","3,753.85","3,753.85","3,695.15","3,753.85","3,717.85","3,719.40","3,724.49","3,914.95","1,626.00",561226,"2,090,280,860.85",36639
"11-Feb-2021","EQ","3,719.60","3,764.70","3,712.00","3,750.35","3,760.00","3,753.85","3,736.16","3,914.95","1,626.00",422563,"1,578,764,830.90",34905
"10-Feb-2021","EQ","3,740.00","3,760.00","3,675.40","3,722.75","3,745.00","3,750.35","3,723.31","3,914.95","1,626.00",953446,"3,549,978,796.80",55676
"09-Feb-2021","EQ","3,783.05","3,841.25","3,705.05","3,781.85","3,732.50","3,722.75","3,786.09","3,914.95","1,626.00",1319497,"4,995,729,261.65",76571
"08-Feb-2021","EQ","3,799.00","3,888.00","3,650.00","3,822.45","3,783.05","3,781.85","3,790.16","3,914.95","1,626.00",2744564,"10,402,335,348.80",154000
"05-Feb-2021","EQ","3,699.00","3,859.80","3,665.05","3,678.90","3,853.00","3,822.45","3,768.75","3,914.95","1,626.00",2152555,"8,112,452,208.65",127248
"04-Feb-2021","EQ","3,713.95","3,724.75","3,651.00","3,680.25","3,671.80","3,678.90","3,676.32","3,914.95","1,626.00",908879,"3,341,330,393.15",62757
"03-Feb-2021","EQ","3,590.00","3,716.90","3,561.25","3,548.60","3,714.00","3,680.25","3,660.80","3,914.95","1,626.00",1693164,"6,198,330,596.75",108408
"02-Feb-2021","EQ","3,540.00","3,567.70","3,446.10","3,463.60","3,543.05","3,548.60","3,511.81","3,914.95","1,626.00",1624774,"5,705,900,867.85",112747
"01-Feb-2021","EQ","3,418.00","3,520.00","3,311.40","3,369.85","3,516.00","3,463.60","3,389.91","3,914.95","1,626.00",998291,"3,384,111,804.25",94329
"29-Jan-2021","EQ","3,450.00","3,458.00","3,360.10","3,429.75","3,380.00","3,369.85","3,396.38","3,914.95","1,626.00",1015705,"3,449,720,016.75",88049
"28-Jan-2021","EQ","3,460.00","3,496.70","3,410.00","3,483.05","3,410.35","3,429.75","3,448.80","3,914.95","1,626.00",717703,"2,475,217,552.60",72595
"27-Jan-2021","EQ","3,594.90","3,600.00","3,469.90","3,569.05","3,480.00","3,483.05","3,509.18","3,914.95","1,626.00",944951,"3,316,001,453.35",103027
"25-Jan-2021","EQ","3,562.00","3,589.40","3,481.70","3,544.70","3,582.00","3,569.05","3,532.08","3,914.95","1,626.00",926197,"3,271,400,769.60",89355
"22-Jan-2021","EQ","3,604.60","3,613.75","3,530.00","3,604.60","3,536.20","3,544.70","3,568.28","3,914.95","1,626.00",720287,"2,570,185,852.70",63452
"21-Jan-2021","EQ","3,650.00","3,650.00","3,590.00","3,605.70","3,615.00","3,604.60","3,618.85","3,914.95","1,626.00",706058,"2,555,114,663.55",68885
"20-Jan-2021","EQ","3,630.00","3,666.10","3,597.05","3,599.45","3,610.00","3,605.70","3,632.17","3,914.95","1,626.00",730498,"2,653,293,279.20",60144
"19-Jan-2021","EQ","3,576.00","3,631.00","3,555.20","3,565.30","3,617.00","3,599.45","3,582.22","3,914.95","1,626.00",834021,"2,987,650,334.90",51559
"18-Jan-2021","EQ","3,640.00","3,659.00","3,551.00","3,644.80","3,559.35","3,565.30","3,593.43","3,914.95","1,626.00",952462,"3,422,601,269.15",64553
"15-Jan-2021","EQ","3,760.00","3,762.80","3,633.00","3,724.70","3,644.00","3,644.80","3,683.37","3,914.95","1,626.00",1048279,"3,861,196,967.05",82235
"14-Jan-2021","EQ","3,738.40","3,740.00","3,684.00","3,719.40","3,726.55","3,724.70","3,707.72","3,914.95","1,626.00",826368,"3,063,943,039.00",58847
"13-Jan-2021","EQ","3,788.50","3,792.20","3,675.75","3,767.50","3,718.00","3,719.40","3,726.27","3,914.95","1,626.00",1142472,"4,257,154,774.05",87326
"12-Jan-2021","EQ","3,822.95","3,831.85","3,741.00","3,822.40","3,765.00","3,767.50","3,766.79","3,914.95","1,626.00",758091,"2,855,570,278.50",93845
"11-Jan-2021","EQ","3,884.90","3,888.95","3,805.50","3,859.15","3,819.80","3,822.40","3,832.24","3,914.95","1,626.00",581207,"2,227,327,609.65",44807
"08-Jan-2021","EQ","3,819.00","3,868.70","3,810.10","3,803.05","3,856.00","3,859.15","3,846.72","3,914.95","1,626.00",594069,"2,285,215,225.05",41071
"07-Jan-2021","EQ","3,890.00","3,904.00","3,791.00","3,879.85","3,809.90","3,803.05","3,823.05","3,914.95","1,626.00",731225,"2,795,513,338.55",74525
"06-Jan-2021","EQ","3,847.00","3,889.30","3,815.55","3,842.10","3,883.50","3,879.85","3,863.18","3,914.95","1,626.00",486212,"1,878,323,668.00",45629
"05-Jan-2021","EQ","3,858.25","3,880.50","3,804.05","3,862.25","3,837.00","3,842.10","3,841.72","3,914.95","1,626.00",621125,"2,386,190,374.15",42564
"04-Jan-2021","EQ","3,853.00","3,914.95","3,849.00","3,849.05","3,863.80","3,862.25","3,875.41","3,914.95","1,626.00",578164,"2,240,620,798.75",34130
"01-Jan-2021","EQ","3,839.00","3,867.90","3,817.85","3,841.90","3,848.05","3,849.05","3,846.99","3,867.90","1,626.00",344329,"1,324,631,807.95",21466
"31-Dec-2020","EQ","3,787.00","3,850.00","3,786.85","3,799.70","3,838.00","3,841.90","3,820.95","3,859.00","1,626.00",646191,"2,469,066,052.20",38852
"30-Dec-2020","EQ","3,790.00","3,820.00","3,760.85","3,784.20","3,795.10","3,799.70","3,791.61","3,859.00","1,626.00",407940,"1,546,750,235.60",26196
"29-Dec-2020","EQ","3,783.00","3,829.70","3,765.00","3,766.00","3,775.00","3,784.20","3,797.57","3,859.00","1,626.00",834002,"3,167,181,066.45",53956
"28-Dec-2020","EQ","3,760.00","3,783.35","3,738.00","3,749.60","3,761.60","3,766.00","3,760.35","3,859.00","1,626.00",387691,"1,457,853,895.25",24672
"24-Dec-2020","EQ","3,705.00","3,757.00","3,692.05","3,688.60","3,755.00","3,749.60","3,731.12","3,859.00","1,626.00",656706,"2,450,246,626.00",41728
"23-Dec-2020","EQ","3,709.60","3,715.00","3,660.00","3,720.95","3,695.00","3,688.60","3,682.75","3,859.00","1,626.00",915202,"3,370,457,318.30",54884
"22-Dec-2020","EQ","3,658.95","3,739.10","3,601.90","3,634.15","3,712.95","3,720.95","3,681.70","3,859.00","1,626.00",1501765,"5,529,053,828.80",74421
"21-Dec-2020","EQ","3,789.00","3,803.95","3,543.80","3,832.90","3,640.00","3,634.15","3,699.30","3,859.00","1,626.00",1845053,"6,825,405,537.70",111052
"18-Dec-2020","EQ","3,837.30","3,859.00","3,782.00","3,824.70","3,820.00","3,832.90","3,824.89","3,859.00","1,626.00",1336810,"5,113,156,975.80",49209
"17-Dec-2020","EQ","3,711.30","3,854.20","3,711.30","3,717.90","3,830.00","3,824.70","3,816.19","3,854.20","1,626.00",2080618,"7,940,028,568.45",99166
"16-Dec-2020","EQ","3,652.20","3,727.00","3,636.00","3,628.40","3,722.45","3,717.90","3,696.49","3,770.00","1,626.00",1097589,"4,057,232,218.65",56891
"15-Dec-2020","EQ","3,620.00","3,652.10","3,606.45","3,599.80","3,625.10","3,628.40","3,628.17","3,770.00","1,626.00",678172,"2,460,520,658.20",45238
"14-Dec-2020","EQ","3,650.00","3,669.75","3,584.60","3,642.10","3,606.00","3,599.80","3,617.96","3,770.00","1,626.00",858167,"3,104,814,598.95",57289
"11-Dec-2020","EQ","3,730.00","3,740.00","3,622.40","3,732.25","3,649.85","3,642.10","3,662.73","3,770.00","1,626.00",1322763,"4,844,920,016.40",73109
"10-Dec-2020","EQ","3,724.90","3,763.00","3,706.75","3,725.40","3,730.00","3,732.25","3,732.08","3,770.00","1,626.00",638946,"2,384,598,978.35",40401
"09-Dec-2020","EQ","3,710.00","3,736.00","3,695.60","3,690.00","3,720.00","3,725.40","3,721.32","3,770.00","1,626.00",653837,"2,433,137,888.85",45955
"08-Dec-2020","EQ","3,717.55","3,749.00","3,676.60","3,717.55","3,700.00","3,690.00","3,708.88","3,770.00","1,626.00",750038,"2,781,800,174.00",51258
"07-Dec-2020","EQ","3,704.00","3,741.95","3,663.45","3,711.95","3,714.95","3,717.55","3,708.17","3,770.00","1,626.00",1086712,"4,029,708,429.60",57136
"04-Dec-2020","EQ","3,710.85","3,739.00","3,665.00","3,692.35","3,709.90","3,711.95","3,701.09","3,770.00","1,626.00",1043566,"3,862,335,664.20",58147
"03-Dec-2020","EQ","3,655.00","3,724.90","3,636.10","3,639.55","3,715.60","3,692.35","3,671.30","3,770.00","1,626.00",940122,"3,451,474,099.55",68716
"02-Dec-2020","EQ","3,622.00","3,654.85","3,615.00","3,620.75","3,643.70","3,639.55","3,635.22","3,770.00","1,626.00",755137,"2,745,087,741.15",46140
"01-Dec-2020","EQ","3,770.00","3,770.00","3,596.60","3,605.10","3,616.00","3,620.75","3,646.11","3,770.00","1,626.00",2077864,"7,576,121,171.05",109912
"27-Nov-2020","EQ","3,547.00","3,659.90","3,509.75","3,544.30","3,608.00","3,605.10","3,594.70","3,659.90","1,626.00",5745633,"20,653,839,010.30",171388
"26-Nov-2020","EQ","3,485.50","3,565.00","3,465.00","3,469.45","3,540.00","3,544.30","3,506.36","3,637.80","1,626.00",963570,"3,378,626,734.25",52604
"25-Nov-2020","EQ","3,567.95","3,568.90","3,450.00","3,537.05","3,464.85","3,469.45","3,502.99","3,637.80","1,626.00",736967,"2,581,590,147.95",43856
"24-Nov-2020","EQ","3,609.95","3,609.95","3,493.00","3,546.30","3,540.00","3,537.05","3,542.07","3,637.80","1,626.00",1608159,"5,696,215,074.50",110303
"23-Nov-2020","EQ","3,486.40","3,637.80","3,470.50","3,469.10","3,538.20","3,546.30","3,566.82","3,637.80","1,626.00",2306539,"8,227,009,236.85",114587
"20-Nov-2020","EQ","3,442.00","3,490.00","3,425.00","3,435.05","3,472.95","3,469.10","3,462.72","3,499.00","1,626.00",1058905,"3,666,696,287.95",68515
"19-Nov-2020","EQ","3,436.00","3,499.00","3,406.30","3,451.80","3,421.10","3,435.05","3,457.57","3,499.00","1,626.00",1130621,"3,909,197,781.55",50799
"18-Nov-2020","EQ","3,440.00","3,462.00","3,410.40","3,427.00","3,446.00","3,451.80","3,440.56","3,490.00","1,626.00",817107,"2,811,302,849.55",48129
"17-Nov-2020","EQ","3,460.00","3,490.00","3,395.00","3,444.95","3,433.00","3,427.00","3,430.62","3,490.00","1,626.00",1652851,"5,670,300,926.45",66420
"14-Nov-2020","EQ","3,464.20","3,464.20","3,438.75","3,432.95","3,444.00","3,444.95","3,448.21","3,464.20","1,626.00",124536,"429,426,577.00",8892
"13-Nov-2020","EQ","3,370.00","3,450.00","3,368.20","3,367.05","3,429.00","3,432.95","3,417.74","3,463.40","1,626.00",1346031,"4,600,385,927.50",62985
"12-Nov-2020","EQ","3,336.00","3,408.75","3,303.15","3,353.15","3,363.70","3,367.05","3,376.32","3,463.40","1,626.00",1258544,"4,249,252,916.05",65042
"11-Nov-2020","EQ","3,300.00","3,372.20","3,282.05","3,263.40","3,353.00","3,353.15","3,334.19","3,463.40","1,626.00",2007813,"6,694,427,145.75",93027
"10-Nov-2020","EQ","3,423.60","3,423.60","3,239.15","3,423.75","3,270.00","3,263.40","3,321.46","3,463.40","1,626.00",2531351,"8,407,769,994.20",128144
"09-Nov-2020","EQ","3,415.05","3,463.40","3,345.65","3,237.25","3,412.05","3,423.75","3,401.77","3,463.40","1,626.00",7053871,"23,995,666,420.65",325560
"06-Nov-2020","EQ","3,210.00","3,264.80","3,186.50","3,209.00","3,221.95","3,237.25","3,227.58","3,389.00","1,626.00",1234138,"3,983,284,346.35",55531
"05-Nov-2020","EQ","3,210.90","3,242.00","3,168.10","3,196.20","3,206.00","3,209.00","3,206.58","3,389.00","1,626.00",1169897,"3,751,366,146.20",69741
"04-Nov-2020","EQ","3,120.75","3,210.10","3,105.15","3,089.90","3,200.00","3,196.20","3,163.15","3,389.00","1,626.00",1479510,"4,679,909,869.25",66721
"03-Nov-2020","EQ","3,060.00","3,117.50","3,058.50","3,048.65","3,091.95","3,089.90","3,085.84","3,389.00","1,626.00",724215,"2,234,812,068.70",43588
"02-Nov-2020","EQ","3,121.15","3,134.90","3,040.30","3,142.05","3,055.00","3,048.65","3,070.04","3,389.00","1,626.00",977309,"3,000,379,189.15",56536
"30-Oct-2020","EQ","3,111.00","3,160.00","3,053.70","3,107.60","3,144.00","3,142.05","3,116.51","3,389.00","1,626.00",1330322,"4,145,956,405.40",74009
"29-Oct-2020","EQ","3,121.45","3,159.65","3,091.60","3,131.45","3,108.80","3,107.60","3,125.26","3,389.00","1,626.00",729761,"2,280,695,815.70",54674
"28-Oct-2020","EQ","3,159.75","3,210.90","3,110.00","3,156.85","3,138.70","3,131.45","3,169.32","3,389.00","1,626.00",1412166,"4,475,610,135.75",80955
"27-Oct-2020","EQ","3,060.00","3,178.55","3,044.00","3,042.15","3,153.15","3,156.85","3,119.43","3,389.00","1,626.00",1602701,"4,999,506,337.85",111972
"26-Oct-2020","EQ","3,080.90","3,081.40","3,020.10","3,068.85","3,040.05","3,042.15","3,040.14","3,389.00","1,626.00",772978,"2,349,963,598.25",44151
"23-Oct-2020","EQ","3,109.00","3,144.00","3,062.65","3,093.50","3,067.00","3,068.85","3,100.10","3,389.00","1,626.00",1214607,"3,765,401,446.35",65157
"22-Oct-2020","EQ","3,078.95","3,106.05","3,031.00","3,078.95","3,097.00","3,093.50","3,066.80","3,389.00","1,626.00",899754,"2,759,363,660.50",47233
"21-Oct-2020","EQ","3,098.00","3,125.00","3,015.00","3,085.75","3,073.90","3,078.95","3,075.00","3,389.00","1,626.00",1234215,"3,795,214,399.85",57357
"20-Oct-2020","EQ","3,102.00","3,128.75","3,071.00","3,093.40","3,090.00","3,085.75","3,100.95","3,389.00","1,626.00",1348612,"4,181,980,272.20",70772
