"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","4,520.00","4,529.95","4,403.10","4,500.40","4,425.00","4,426.50","4,453.77","5,512.65","2,495.05",687852,"3,063,536,474.15",56974
"10-Mar-2021","EQ","4,496.00","4,519.85","4,456.05","4,448.30","4,496.50","4,500.40","4,488.98","5,512.65","2,495.05",629961,"2,827,885,462.50",47379
"09-Mar-2021","EQ","4,500.95","4,520.00","4,416.50","4,492.25","4,454.00","4,448.30","4,455.72","5,512.65","2,495.05",543118,"2,419,979,202.25",49173
"08-Mar-2021","EQ","4,500.00","4,522.00","4,463.00","4,492.50","4,485.00","4,492.25","4,494.34","5,512.65","2,495.05",556416,"2,500,720,118.00",45864
"05-Mar-2021","EQ","4,550.00","4,560.00","4,484.00","4,575.05","4,492.90","4,492.50","4,514.63","5,512.65","2,495.05",826369,"3,730,753,853.95",73567
"04-Mar-2021","EQ","4,482.00","4,583.35","4,444.00","4,502.55","4,567.00","4,575.05","4,533.61","5,512.65","2,495.05",1472991,"6,677,970,476.55",109298
"03-Mar-2021","EQ","4,465.00","4,515.75","4,426.00","4,404.70","4,499.00","4,502.55","4,466.98","5,512.65","2,495.05",850614,"3,799,674,902.15",57393
"02-Mar-2021","EQ","4,473.40","4,479.90","4,390.15","4,453.40","4,408.20","4,404.70","4,412.48","5,512.65","2,495.05",1837678,"8,108,709,316.55",85902
"01-Mar-2021","EQ","4,445.00","4,478.00","4,400.25","4,426.55","4,459.00","4,453.40","4,443.67","5,512.65","2,495.05",709073,"3,150,885,258.45",66154
"26-Feb-2021","EQ","4,460.00","4,558.60","4,405.00","4,480.15","4,427.00","4,426.55","4,484.17","5,512.65","2,495.05",1506890,"6,757,154,600.55",102972
"25-Feb-2021","EQ","4,421.15","4,590.00","4,421.15","4,435.55","4,486.00","4,480.15","4,516.03","5,512.65","2,495.05",1706375,"7,706,032,189.25",104887
"24-Feb-2021","EQ","4,495.15","4,523.75","4,377.00","4,495.15","4,430.95","4,435.55","4,458.70","5,512.65","2,495.05",735586,"3,279,758,518.25",60115
"23-Feb-2021","EQ","4,498.00","4,534.30","4,420.50","4,469.25","4,480.00","4,495.15","4,487.41","5,512.65","2,495.05",1063418,"4,771,990,401.65",76263
"22-Feb-2021","EQ","4,708.00","4,726.95","4,443.15","4,681.45","4,478.95","4,469.25","4,559.55","5,512.65","2,495.05",1395313,"6,362,001,199.75",110643
"19-Feb-2021","EQ","4,602.00","4,728.00","4,530.00","4,616.95","4,726.00","4,681.45","4,616.57","5,512.65","2,495.05",1278534,"5,902,443,941.80",89385
"18-Feb-2021","EQ","4,607.00","4,663.85","4,560.00","4,600.55","4,622.50","4,616.95","4,616.64","5,512.65","2,495.05",1029506,"4,752,857,403.10",79689
"17-Feb-2021","EQ","4,696.60","4,709.95","4,580.00","4,696.60","4,595.25","4,600.55","4,620.02","5,512.65","2,495.05",1021355,"4,718,685,424.85",54415
"16-Feb-2021","EQ","4,729.00","4,761.60","4,670.00","4,709.85","4,693.00","4,696.60","4,709.26","5,512.65","2,495.05",812940,"3,828,346,475.75",47737
"15-Feb-2021","EQ","4,792.00","4,833.55","4,700.05","4,792.00","4,705.75","4,709.85","4,735.41","5,512.65","2,495.05",984641,"4,662,681,117.35",62122
"12-Feb-2021","EQ","4,859.80","4,859.80","4,785.00","4,825.05","4,796.95","4,792.00","4,817.33","5,512.65","2,495.05",500902,"2,413,010,923.75",35543
"11-Feb-2021","EQ","4,821.00","4,860.00","4,810.00","4,824.05","4,833.00","4,825.05","4,828.02","5,512.65","2,495.05",711550,"3,435,375,792.65",56504
"10-Feb-2021","EQ","4,845.00","4,884.10","4,761.00","4,844.10","4,815.00","4,824.05","4,812.73","5,512.65","2,495.05",1153423,"5,551,111,190.10",71166
