"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","150.50","152.45","145.65","147.70","147.30","146.85","148.47","157.95","65.00",15549201,"2,308,643,527.50",71997
"10-Mar-2021","EQ","149.75","150.90","147.10","149.05","147.75","147.70","148.47","157.95","65.00",21345117,"3,169,103,297.05",77811
"09-Mar-2021","EQ","154.90","154.90","148.35","154.15","149.05","149.05","150.63","157.95","65.00",20477362,"3,084,429,834.25",91379
"08-Mar-2021","EQ","148.40","157.95","147.50","147.15","153.40","154.15","154.77","157.95","65.00",63069391,"9,761,431,303.95",232861
"05-Mar-2021","EQ","144.35","150.00","144.35","144.45","147.00","147.15","148.25","152.80","65.00",34317341,"5,087,697,265.35",131234
"04-Mar-2021","EQ","145.50","146.85","143.35","146.95","145.00","144.45","145.24","152.80","65.00",16585926,"2,408,918,347.55",54657
"03-Mar-2021","EQ","145.95","147.50","144.75","144.80","146.80","146.95","146.13","152.80","65.00",16283786,"2,379,490,417.90",59370
"02-Mar-2021","EQ","145.45","146.90","143.60","144.50","145.05","144.80","145.08","152.80","65.00",16832869,"2,442,106,303.85",68385
"01-Mar-2021","EQ","144.10","145.65","142.50","141.80","144.80","144.50","144.00","152.80","65.00",16859409,"2,427,727,169.75",77582
"26-Feb-2021","EQ","149.95","149.95","140.40","150.80","141.45","141.80","144.79","152.80","65.00",37458344,"5,423,659,965.35",166003
"25-Feb-2021","EQ","147.95","152.80","146.20","146.45","150.45","150.80","149.68","152.80","65.00",38734458,"5,797,810,155.20",144981
"24-Feb-2021","EQ","147.55","148.10","142.90","147.35","146.50","146.45","145.42","149.45","65.00",21543442,"3,132,740,664.00",87168
"23-Feb-2021","EQ","143.10","148.75","143.10","142.80","147.60","147.35","147.40","149.45","65.00",30252701,"4,459,263,625.70",139195
"22-Feb-2021","EQ","145.00","145.50","142.00","145.40","142.30","142.80","144.01","149.45","65.00",20609337,"2,967,894,989.60",145897
"19-Feb-2021","EQ","143.95","149.45","143.50","143.10","145.15","145.40","146.94","149.45","65.00",69653864,"10,234,659,397.85",234500
"18-Feb-2021","EQ","138.95","147.80","138.00","134.40","143.95","143.10","143.71","147.80","65.00",114715328,"16,486,024,555.75",385848
"17-Feb-2021","EQ","132.50","136.95","132.00","133.10","135.00","134.40","135.33","146.20","65.00",21615744,"2,925,159,051.30",93850
"16-Feb-2021","EQ","134.20","135.25","132.50","133.80","133.10","133.10","133.91","146.20","65.00",15227589,"2,039,188,873.20",86059
"15-Feb-2021","EQ","133.95","135.40","131.85","132.90","133.65","133.80","133.95","146.20","65.00",16847815,"2,256,798,854.15",56215
"12-Feb-2021","EQ","136.95","137.25","132.35","136.45","132.70","132.90","134.18","146.20","65.00",13980720,"1,875,891,791.70",69584
"11-Feb-2021","EQ","133.90","138.00","133.10","133.60","136.40","136.45","136.69","146.20","65.00",45742936,"6,252,505,668.40",166153
"10-Feb-2021","EQ","132.40","134.00","130.80","131.05","133.70","133.60","132.66","146.20","65.00",29017416,"3,849,465,288.80",121723
"09-Feb-2021","EQ","132.00","133.45","130.70","131.40","131.25","131.05","132.03","146.20","65.00",15232082,"2,011,111,708.05",60321
"08-Feb-2021","EQ","129.90","134.30","129.15","128.20","131.60","131.40","132.32","146.20","65.00",27756625,"3,672,796,777.60",112200
"05-Feb-2021","EQ","132.20","132.70","127.50","130.70","128.90","128.20","129.54","146.20","65.00",16472506,"2,133,907,948.10",71825
"04-Feb-2021","EQ","131.00","135.25","130.25","130.45","130.95","130.70","132.55","146.20","65.00",24343813,"3,226,674,430.80",105142
"03-Feb-2021","EQ","130.00","132.45","129.30","129.70","130.50","130.45","130.88","146.20","65.00",18339188,"2,400,262,085.90",65908
"02-Feb-2021","EQ","128.90","132.20","128.75","127.40","130.60","129.70","130.02","146.20","65.00",16460769,"2,140,203,541.35",77980
"01-Feb-2021","EQ","124.25","129.00","124.25","125.30","128.55","127.40","126.32","146.20","65.00",17372633,"2,194,568,427.75",70712
"29-Jan-2021","EQ","129.00","129.70","124.30","128.60","125.15","125.30","127.04","146.20","65.00",22647682,"2,877,124,159.50",67090
