"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","1,395.00","1,404.95","1,375.00","1,385.05","1,375.80","1,379.50","1,390.11","1,408.00","385.05",1206112,"1,676,632,867.10",42988
"10-Mar-2021","EQ","1,378.00","1,389.35","1,360.00","1,366.35","1,388.90","1,385.05","1,375.02","1,408.00","385.05",1085941,"1,493,189,549.35",40642
"09-Mar-2021","EQ","1,382.00","1,408.00","1,361.05","1,344.25","1,367.05","1,366.35","1,383.06","1,408.00","385.05",5078891,"7,024,429,600.90",130348
"08-Mar-2021","EQ","1,339.95","1,367.70","1,331.55","1,339.35","1,344.00","1,344.25","1,349.72","1,371.70","385.05",1400679,"1,890,522,950.75",43599
"05-Mar-2021","EQ","1,348.80","1,371.70","1,324.00","1,350.40","1,335.50","1,339.35","1,340.10","1,371.70","385.05",2714173,"3,637,251,890.85",75522
"04-Mar-2021","EQ","1,306.00","1,360.00","1,300.50","1,318.10","1,353.10","1,350.40","1,336.27","1,360.00","385.05",1950846,"2,606,848,012.40",51877
"03-Mar-2021","EQ","1,299.00","1,343.00","1,290.00","1,294.75","1,316.00","1,318.10","1,321.19","1,343.00","385.05",2243838,"2,964,531,054.20",61220
"02-Mar-2021","EQ","1,275.00","1,298.50","1,261.00","1,265.95","1,295.80","1,294.75","1,283.66","1,298.50","385.05",1954073,"2,508,368,011.40",61337
"01-Mar-2021","EQ","1,206.95","1,270.00","1,202.20","1,200.80","1,270.00","1,265.95","1,247.63","1,289.00","385.05",1601364,"1,997,909,945.30",40467
"26-Feb-2021","EQ","1,255.00","1,270.00","1,190.85","1,270.45","1,200.00","1,200.80","1,222.95","1,289.00","385.05",2798547,"3,422,490,778.25",62177
"25-Feb-2021","EQ","1,258.00","1,289.00","1,254.00","1,250.20","1,271.65","1,270.45","1,270.41","1,289.00","385.05",1942025,"2,467,158,875.85",61246
"24-Feb-2021","EQ","1,239.00","1,257.00","1,231.25","1,231.50","1,255.70","1,250.20","1,243.10","1,258.60","385.05",441927,"549,360,366.50",17626
"23-Feb-2021","EQ","1,239.00","1,249.90","1,221.60","1,230.50","1,229.00","1,231.50","1,232.63","1,258.60","385.05",1434663,"1,768,403,346.30",48980
"22-Feb-2021","EQ","1,221.50","1,235.00","1,215.00","1,218.00","1,226.00","1,230.50","1,225.67","1,258.60","385.05",1128617,"1,383,310,547.15",28087
"19-Feb-2021","EQ","1,231.75","1,239.70","1,210.00","1,229.65","1,221.50","1,218.00","1,224.62","1,258.60","385.05",1314508,"1,609,770,633.60",32796
"18-Feb-2021","EQ","1,238.45","1,247.65","1,213.00","1,238.45","1,225.65","1,229.65","1,230.53","1,258.60","385.05",1536486,"1,890,698,729.20",36237
"17-Feb-2021","EQ","1,228.10","1,249.00","1,228.00","1,243.75","1,237.90","1,238.45","1,237.98","1,258.60","385.05",1048606,"1,298,152,830.30",25875
"16-Feb-2021","EQ","1,234.40","1,257.00","1,225.60","1,227.95","1,242.00","1,243.75","1,242.39","1,258.60","385.05",1561647,"1,940,167,719.05",37314
"15-Feb-2021","EQ","1,257.05","1,258.60","1,216.75","1,242.10","1,234.40","1,227.95","1,229.51","1,258.60","385.05",1914247,"2,353,579,397.90",46416
"12-Feb-2021","EQ","1,244.00","1,254.80","1,221.05","1,235.45","1,239.75","1,242.10","1,242.85","1,254.80","385.05",3421387,"4,252,262,873.10",106772
"11-Feb-2021","EQ","1,223.00","1,244.80","1,221.60","1,231.40","1,236.70","1,235.45","1,235.73","1,249.00","385.05",1216492,"1,503,258,841.90",35414
"10-Feb-2021","EQ","1,216.00","1,249.00","1,216.00","1,217.95","1,231.00","1,231.40","1,236.38","1,249.00","385.05",3264009,"4,035,549,734.20",97031
"09-Feb-2021","EQ","1,210.00","1,226.50","1,204.00","1,210.80","1,221.00","1,217.95","1,216.57","1,226.50","385.05",1727089,"2,101,128,129.20",48558
"08-Feb-2021","EQ","1,186.00","1,220.00","1,185.00","1,186.10","1,213.00","1,210.80","1,206.34","1,220.00","385.05",1955804,"2,359,357,008.85",46930
"05-Feb-2021","EQ","1,188.50","1,208.80","1,173.00","1,188.50","1,185.80","1,186.10","1,188.23","1,217.45","385.05",1636133,"1,944,101,981.00",58845
"04-Feb-2021","EQ","1,180.00","1,217.45","1,171.05","1,190.85","1,187.00","1,188.50","1,196.31","1,217.45","385.05",2659290,"3,181,326,496.20",68786
"03-Feb-2021","EQ","1,178.10","1,205.50","1,172.25","1,190.00","1,180.10","1,190.85","1,191.92","1,209.90","385.05",2427085,"2,892,899,266.20",64409
"02-Feb-2021","EQ","1,144.00","1,209.90","1,136.45","1,125.65","1,190.00","1,190.00","1,182.60","1,209.90","385.05",4122906,"4,875,734,119.05",104344
"01-Feb-2021","EQ","1,060.00","1,130.80","1,047.35","1,055.65","1,130.50","1,125.65","1,092.85","1,130.80","385.05",2099126,"2,294,022,387.50",60712
"29-Jan-2021","EQ","1,062.60","1,094.00","1,048.45","1,067.40","1,062.00","1,055.65","1,073.20","1,114.65","385.05",3822191,"4,101,979,072.55",94386
"28-Jan-2021","EQ","1,040.50","1,076.00","1,038.55","1,061.55","1,065.20","1,067.40","1,056.09","1,114.65","385.05",2834260,"2,993,227,872.45",78641
"27-Jan-2021","EQ","1,063.95","1,114.35","1,051.05","1,069.75","1,060.00","1,061.55","1,081.88","1,114.65","385.05",6620990,"7,163,109,106.45",162403
"25-Jan-2021","EQ","1,025.00","1,114.65","1,017.00","1,004.00","1,062.90","1,069.75","1,075.06","1,114.65","385.05",15344078,"16,495,788,061.85",316677
"22-Jan-2021","EQ","1,022.30","1,030.75","1,000.00","1,017.10","1,001.25","1,004.00","1,012.76","1,052.50","385.05",1029795,"1,042,930,232.35",31591
