"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","988.50","1,002.80","973.60","988.50","980.00","979.25","989.42","1,067.00","375.25",6447010,"6,378,779,711.90",189085
"10-Mar-2021","EQ","985.70","995.10","979.70","973.15","987.00","988.50","988.27","1,067.00","375.25",7694950,"7,604,716,573.90",183049
"09-Mar-2021","EQ","964.10","976.90","949.10","961.90","976.10","973.15","964.46","1,067.00","375.25",5440319,"5,246,947,170.85",142977
"08-Mar-2021","EQ","952.50","973.00","944.00","941.50","964.10","961.90","962.03","1,067.00","375.25",5621823,"5,408,357,440.40",112495
"05-Mar-2021","EQ","956.10","972.00","936.30","958.00","943.75","941.50","958.30","1,067.00","375.25",5992152,"5,742,263,104.90",122836
"04-Mar-2021","EQ","952.00","969.90","951.35","965.25","960.25","958.00","961.42","1,067.00","375.25",6268541,"6,026,676,809.75",140258
"03-Mar-2021","EQ","965.00","968.00","947.00","953.75","963.35","965.25","959.91","1,067.00","375.25",5742015,"5,511,805,742.25",123910
"02-Mar-2021","EQ","933.85","957.90","928.60","930.35","952.00","953.75","945.40","1,067.00","375.25",6715548,"6,348,872,636.50",141499
"01-Mar-2021","EQ","916.00","934.45","915.65","909.45","931.00","930.35","929.18","1,067.00","375.25",5397960,"5,015,649,590.60",133976
"26-Feb-2021","EQ","908.00","925.00","905.10","929.25","911.00","909.45","914.25","1,067.00","375.25",9198218,"8,409,490,272.50",215577
"25-Feb-2021","EQ","925.90","934.05","922.15","916.00","931.80","929.25","929.63","1,067.00","375.25",6234947,"5,796,172,592.50",203430
"24-Feb-2021","EQ","918.00","919.45","905.50","909.95","913.00","916.00","913.47","1,067.00","375.25",3435827,"3,138,512,395.50",97531
"23-Feb-2021","EQ","924.00","930.00","906.55","920.15","911.45","909.95","916.56","1,067.00","375.25",5916942,"5,423,238,918.80",154991
"22-Feb-2021","EQ","949.50","951.45","916.05","950.15","918.60","920.15","930.32","1,067.00","375.25",5043203,"4,691,780,610.25",154368
"19-Feb-2021","EQ","950.00","958.00","944.45","948.10","949.90","950.15","951.79","1,067.00","375.25",5494816,"5,229,937,782.50",127863
"18-Feb-2021","EQ","944.00","956.75","938.35","943.20","950.00","948.10","947.26","1,067.00","375.25",5133094,"4,862,356,031.00",160532
"17-Feb-2021","EQ","952.00","958.40","941.00","952.30","943.00","943.20","946.95","1,067.00","375.25",3643176,"3,449,887,496.30",98699
"16-Feb-2021","EQ","957.00","962.25","944.10","954.65","953.20","952.30","952.29","1,067.00","375.25",3277086,"3,120,729,721.75",100939
"15-Feb-2021","EQ","970.00","971.25","950.10","960.40","955.80","954.65","957.08","1,067.00","375.25",4643228,"4,443,954,017.15",196711
"12-Feb-2021","EQ","975.00","986.50","957.60","970.40","962.80","960.40","974.32","1,067.00","375.25",8045740,"7,839,128,738.95",152352
"11-Feb-2021","EQ","959.45","972.50","953.05","959.45","972.00","970.40","964.93","1,067.00","375.25",3745595,"3,614,239,422.25",107544
"10-Feb-2021","EQ","955.05","965.10","946.15","951.60","960.70","959.45","955.87","1,067.00","375.25",4896963,"4,680,840,478.20",113186
"09-Feb-2021","EQ","965.00","981.90","946.60","957.75","955.00","951.60","966.24","1,067.00","375.25",7557977,"7,302,790,839.05",147283
