"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","2,662.00","2,667.95","2,556.35","2,599.80","2,568.00","2,568.00","2,607.61","2,896.00","1,473.45",3487185,"9,093,216,419.80",135588
"10-Mar-2021","EQ","2,590.40","2,609.40","2,580.60","2,577.30","2,600.00","2,599.80","2,596.55","2,896.00","1,473.45",2569360,"6,671,472,757.60",102150
"09-Mar-2021","EQ","2,513.10","2,584.40","2,513.10","2,510.25","2,578.00","2,577.30","2,559.34","2,896.00","1,473.45",2877662,"7,364,925,570.70",122151
"08-Mar-2021","EQ","2,555.05","2,560.00","2,505.40","2,543.90","2,512.00","2,510.25","2,525.59","2,896.00","1,473.45",2179821,"5,505,333,730.15",114119
"05-Mar-2021","EQ","2,573.60","2,579.90","2,523.50","2,582.95","2,546.90","2,543.90","2,551.40","2,896.00","1,473.45",4254126,"10,853,977,688.85",171484
"04-Mar-2021","EQ","2,610.00","2,610.00","2,568.00","2,654.90","2,584.90","2,582.95","2,584.28","2,896.00","1,473.45",5315682,"13,737,220,189.30",235030
"03-Mar-2021","EQ","2,608.90","2,664.15","2,592.15","2,564.00","2,654.85","2,654.90","2,626.73","2,896.00","1,473.45",5640063,"14,814,933,877.45",133676
"02-Mar-2021","EQ","2,615.00","2,615.00","2,541.40","2,606.00","2,575.00","2,564.00","2,567.14","2,896.00","1,473.45",4086134,"10,489,679,518.45",162290
"01-Mar-2021","EQ","2,556.00","2,614.60","2,548.60","2,539.40","2,610.00","2,606.00","2,588.58","2,896.00","1,473.45",3595993,"9,308,531,410.95",134145
"26-Feb-2021","EQ","2,631.05","2,631.05","2,520.00","2,684.70","2,539.90","2,539.40","2,561.29","2,896.00","1,473.45",8771431,"22,466,145,911.70",288790
"25-Feb-2021","EQ","2,718.50","2,739.00","2,677.00","2,707.75","2,687.00","2,684.70","2,702.59","2,896.00","1,473.45",4758112,"12,859,239,613.30",144627
