"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","341.55","345.00","327.45","340.35","331.50","330.20","335.48","361.30","84.90",15035151,"5,043,956,342.25",111302
"10-Mar-2021","EQ","335.80","342.35","330.45","333.25","341.00","340.35","336.13","361.30","84.90",10886045,"3,659,076,934.40",98370
"09-Mar-2021","EQ","339.95","344.40","328.45","336.60","333.15","333.25","336.86","361.30","84.90",13883599,"4,676,791,861.35",91205
"08-Mar-2021","EQ","340.05","343.90","334.70","337.85","336.75","336.60","338.16","361.30","84.90",10555735,"3,569,534,555.10",85792
"05-Mar-2021","EQ","345.25","347.60","333.15","349.45","339.00","337.85","340.29","361.30","84.90",15127687,"5,147,768,495.85",136189
"04-Mar-2021","EQ","352.00","357.70","347.00","359.35","349.90","349.45","352.14","361.30","84.90",13623173,"4,797,258,208.20",96719
"03-Mar-2021","EQ","350.70","361.30","350.50","345.25","358.75","359.35","357.05","361.30","84.90",20104887,"7,178,446,850.20",168134
"02-Mar-2021","EQ","344.25","349.30","338.75","344.10","344.70","345.25","343.02","354.60","84.90",12878208,"4,417,484,707.80",116292
"01-Mar-2021","EQ","342.00","347.00","334.60","340.25","345.00","344.10","341.80","354.60","84.90",14556212,"4,975,261,233.00",129407
"26-Feb-2021","EQ","343.00","349.65","334.75","350.70","340.95","340.25","341.79","354.60","84.90",20379210,"6,965,310,195.55",159341
"25-Feb-2021","EQ","337.60","354.60","337.00","332.80","350.00","350.70","346.94","354.60","84.90",35967464,"12,478,453,874.15",240253
"24-Feb-2021","EQ","334.20","337.50","328.00","333.05","333.00","332.80","333.95","338.15","84.90",14777374,"4,934,924,982.20",117562
"23-Feb-2021","EQ","321.95","338.15","316.65","316.10","334.20","333.05","329.02","338.15","84.90",50677230,"16,673,736,714.15",329561
"22-Feb-2021","EQ","310.00","328.00","310.00","308.00","314.60","316.10","320.99","328.00","84.90",45975603,"14,757,677,876.65",317856
"19-Feb-2021","EQ","308.00","313.35","302.25","309.90","309.00","308.00","307.04","313.35","84.90",17410357,"5,345,695,150.80",96804
"18-Feb-2021","EQ","306.05","312.60","305.00","303.90","309.60","309.90","309.31","312.60","84.90",16202053,"5,011,434,700.50",133048
"17-Feb-2021","EQ","302.70","308.50","301.00","302.70","304.10","303.90","304.57","308.50","84.90",18221106,"5,549,679,463.65",129930
"16-Feb-2021","EQ","293.55","307.35","293.00","291.40","302.00","302.70","302.90","307.35","84.90",27519511,"8,335,641,658.45",217537
"15-Feb-2021","EQ","292.50","296.05","289.00","290.80","291.10","291.40","292.56","297.35","84.90",8041775,"2,352,741,176.50",71677
"12-Feb-2021","EQ","297.00","297.25","286.50","295.40","291.00","290.80","291.69","297.35","84.90",15454237,"4,507,820,225.80",93994
"11-Feb-2021","EQ","280.80","297.35","279.85","279.40","294.80","295.40","290.91","297.35","84.90",47356292,"13,776,236,101.50",287892
"10-Feb-2021","EQ","281.00","283.35","274.70","278.05","279.70","279.40","279.40","285.90","84.90",16789592,"4,690,993,975.65",132892
"09-Feb-2021","EQ","278.55","285.90","275.65","278.95","278.95","278.05","281.42","285.90","84.90",22066741,"6,210,101,038.40",145738
"08-Feb-2021","EQ","264.00","280.55","263.55","262.05","278.55","278.95","274.29","280.55","84.90",27556901,"7,558,600,563.50",207524
"05-Feb-2021","EQ","264.00","266.00","255.90","261.85","262.60","262.05","261.60","275.40","84.90",12833374,"3,357,262,271.00",86179
"04-Feb-2021","EQ","259.95","267.40","258.95","257.25","262.65","261.85","263.90","275.40","84.90",21296401,"5,620,221,094.55",145683
"03-Feb-2021","EQ","254.00","263.40","252.55","255.35","257.00","257.25","257.81","275.40","84.90",15670948,"4,040,053,779.00",105090
"02-Feb-2021","EQ","244.20","257.40","243.90","241.15","254.50","255.35","252.61","275.40","84.90",18251184,"4,610,411,469.05",123738
"01-Feb-2021","EQ","227.35","243.95","226.55","226.30","242.00","241.15","234.75","275.40","84.90",12417894,"2,915,158,414.35",121835
