"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","1,052.00","1,056.40","1,015.65","1,039.85","1,019.25","1,022.65","1,035.51","1,119.50","235.55",5735382,"5,939,020,613.95",123230
"10-Mar-2021","EQ","1,043.15","1,060.00","1,033.05","1,024.80","1,041.90","1,039.85","1,045.76","1,119.50","235.55",8832614,"9,236,766,631.10",162178
"09-Mar-2021","EQ","1,025.60","1,035.60","1,005.00","1,018.25","1,025.20","1,024.80","1,019.36","1,119.50","235.55",9915907,"10,107,878,993.40",205834
"08-Mar-2021","EQ","1,054.00","1,055.45","1,014.50","1,039.90","1,016.85","1,018.25","1,028.84","1,119.50","235.55",10522267,"10,825,730,030.05",188337
"05-Mar-2021","EQ","1,084.00","1,084.00","1,025.45","1,091.95","1,043.00","1,039.90","1,046.93","1,136.95","235.55",13926140,"14,579,754,583.80",270327
"04-Mar-2021","EQ","1,078.00","1,116.00","1,072.60","1,099.75","1,093.00","1,091.95","1,094.89","1,136.95","235.55",6128220,"6,709,732,619.25",124323
"03-Mar-2021","EQ","1,080.00","1,104.00","1,077.15","1,073.35","1,102.00","1,099.75","1,090.23","1,136.95","235.55",5695638,"6,209,549,931.05",103549
"02-Mar-2021","EQ","1,075.00","1,086.30","1,060.00","1,067.95","1,074.00","1,073.35","1,071.70","1,136.95","235.55",4917345,"5,269,933,186.05",99556
"01-Mar-2021","EQ","1,075.00","1,096.60","1,063.15","1,062.95","1,069.20","1,067.95","1,075.78","1,136.95","235.55",6358886,"6,840,732,248.45",122954
"26-Feb-2021","EQ","1,070.00","1,082.90","1,051.25","1,109.75","1,062.80","1,062.95","1,065.21","1,189.50","235.55",12247085,"13,045,767,213.15",224480
"25-Feb-2021","EQ","1,080.00","1,119.50","1,079.00","1,070.00","1,110.25","1,109.75","1,106.79","1,189.50","235.55",12716781,"14,074,802,523.40",244535
"24-Feb-2021","EQ","1,047.30","1,076.00","1,041.25","1,048.30","1,067.00","1,070.00","1,060.85","1,189.50","235.55",6833820,"7,249,642,611.65",119960
"23-Feb-2021","EQ","1,033.15","1,053.95","1,018.00","1,022.90","1,048.00","1,048.30","1,040.02","1,189.50","235.55",7160332,"7,446,871,984.45",128785
"22-Feb-2021","EQ","1,064.95","1,067.10","1,018.00","1,065.90","1,025.65","1,022.90","1,042.69","1,189.50","235.55",9412265,"9,814,117,579.10",178180
"19-Feb-2021","EQ","1,035.00","1,074.55","1,027.80","1,046.05","1,069.80","1,065.90","1,055.69","1,209.00","235.55",14557527,"15,368,213,441.00",217668
"18-Feb-2021","EQ","1,045.00","1,055.40","1,033.40","1,033.20","1,043.75","1,046.05","1,044.75","1,209.00","235.55",8911120,"9,309,858,269.40",162856
"17-Feb-2021","EQ","1,080.00","1,085.00","1,026.20","1,058.25","1,032.10","1,033.20","1,044.93","1,209.00","235.55",13855321,"14,477,779,726.85",233993
"16-Feb-2021","EQ","1,068.00","1,096.50","1,041.10","1,057.60","1,063.00","1,058.25","1,069.05","1,209.00","235.55",13883441,"14,842,039,558.75",278407
"15-Feb-2021","EQ","1,044.90","1,063.00","1,037.70","1,027.40","1,059.00","1,057.60","1,053.29","1,209.00","235.55",9121286,"9,607,396,330.00",187726
"12-Feb-2021","EQ","1,023.80","1,059.50","1,012.00","1,021.90","1,025.10","1,027.40","1,042.58","1,309.90","235.55",13959383,"14,553,772,998.20",258960
"11-Feb-2021","EQ","1,025.00","1,036.00","1,015.30","1,022.80","1,022.30","1,021.90","1,023.01","1,309.90","235.55",5760021,"5,892,568,187.85",138543
"10-Feb-2021","EQ","1,035.00","1,038.45","1,003.60","1,025.80","1,027.00","1,022.80","1,017.51","1,309.90","235.55",7815034,"7,951,912,141.15",156341
"09-Feb-2021","EQ","1,044.00","1,051.60","1,020.00","1,035.10","1,027.60","1,025.80","1,034.63","1,309.90","235.55",7984133,"8,260,662,389.45",134557
"08-Feb-2021","EQ","1,036.05","1,055.00","1,028.00","1,025.10","1,037.90","1,035.10","1,042.33","1,309.90","235.55",7162284,"7,465,438,710.15",149679
