"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","100.25","102.30","100.20","98.85","101.40","101.30","101.48","105.25","71.15",34987666,"3,550,628,054.10",96751
"10-Mar-2021","EQ","101.90","101.90","98.70","100.55","99.00","98.85","99.58","105.25","71.15",21160710,"2,107,080,094.30",68150
"09-Mar-2021","EQ","102.45","102.90","99.20","103.60","100.60","100.55","101.02","105.25","71.15",29925269,"3,023,127,805.15",94006
"08-Mar-2021","EQ","102.25","105.00","102.10","101.45","103.70","103.60","103.71","105.25","71.15",49732782,"5,157,888,575.30",142836
"05-Mar-2021","EQ","101.70","102.85","100.85","101.45","101.50","101.45","101.89","112.90","71.15",40145177,"4,090,384,456.90",119077
"04-Mar-2021","EQ","101.50","103.10","101.15","102.60","101.50","101.45","101.92","112.90","71.15",16870409,"1,719,492,993.65",53673
"03-Mar-2021","EQ","103.00","104.00","101.40","102.20","102.50","102.60","102.82","112.90","71.15",30023276,"3,086,865,820.05",137700
"02-Mar-2021","EQ","102.25","104.10","101.75","100.70","102.30","102.20","102.83","112.90","71.15",45720247,"4,701,611,143.15",130480
"01-Mar-2021","EQ","101.00","101.50","99.80","98.05","100.90","100.70","100.69","112.90","71.15",30046249,"3,025,419,318.60",104552
"26-Feb-2021","EQ","99.50","101.95","97.20","100.90","97.85","98.05","99.76","113.10","71.15",45723160,"4,561,312,090.10",123862
"25-Feb-2021","EQ","99.40","101.95","98.85","97.95","101.45","100.90","100.50","113.10","71.15",62750445,"6,306,574,328.30",147409
"24-Feb-2021","EQ","98.40","99.90","97.00","97.65","98.00","97.95","98.87","113.10","71.15",19784111,"1,956,103,973.40",68813
"23-Feb-2021","EQ","96.40","99.10","96.00","95.65","97.90","97.65","97.87","113.10","71.15",35512683,"3,475,676,349.15",94597
"22-Feb-2021","EQ","97.50","98.50","95.10","97.55","95.20","95.65","96.79","113.10","71.15",19487082,"1,886,162,304.10",67565
"19-Feb-2021","EQ","99.20","100.50","96.10","99.00","97.50","97.55","98.58","115.30","71.15",42193351,"4,159,529,512.35",118324
"18-Feb-2021","EQ","95.30","99.85","95.30","95.00","98.95","99.00","98.45","115.30","71.15",54055390,"5,321,626,763.80",151786
"17-Feb-2021","EQ","95.55","95.70","94.65","95.60","95.00","95.00","95.05","115.30","71.15",16459093,"1,564,425,128.55",53664
"16-Feb-2021","EQ","94.15","96.50","94.00","94.15","95.80","95.60","95.48","115.30","71.15",24869144,"2,374,567,300.00",65064
"15-Feb-2021","EQ","95.55","96.10","94.00","95.10","94.15","94.15","94.53","115.30","71.15",14796024,"1,398,736,951.80",68006
"12-Feb-2021","EQ","96.55","97.10","94.60","96.50","95.30","95.10","95.50","118.35","71.15",19038734,"1,818,232,821.45",69515
"11-Feb-2021","EQ","96.10","97.50","95.90","96.75","96.70","96.50","96.56","118.35","71.15",19512564,"1,884,060,939.90",52132
"10-Feb-2021","EQ","98.10","98.75","96.10","97.70","96.90","96.75","97.07","118.35","71.15",22672022,"2,200,759,774.55",73456
"09-Feb-2021","EQ","99.80","99.80","97.00","104.10","97.95","97.70","98.67","118.35","71.15",47911877,"4,727,252,388.05",193856
"08-Feb-2021","EQ","104.00","104.40","102.45","102.40","104.40","104.10","103.60","118.35","71.15",37924977,"3,929,119,711.15",92391
"05-Feb-2021","EQ","104.50","104.60","102.05","103.60","102.45","102.40","102.88","118.35","71.15",31422905,"3,232,672,120.05",69926
"04-Feb-2021","EQ","102.80","104.35","102.50","101.85","103.80","103.60","103.38","118.35","71.15",51171418,"5,289,929,246.20",148243
"03-Feb-2021","EQ","100.60","102.40","99.90","98.80","102.00","101.85","100.89","118.35","71.15",58158800,"5,867,585,471.40",140432
"02-Feb-2021","EQ","97.55","99.20","96.75","95.80","99.10","98.80","98.45","118.35","71.15",38641408,"3,804,148,721.65",102193
"01-Feb-2021","EQ","95.80","96.40","93.40","93.25","96.15","95.80","94.99","118.35","71.15",53177517,"5,051,112,520.95",128702
"29-Jan-2021","EQ","93.80","96.30","92.80","92.60","93.30","93.25","94.25","120.20","71.15",74195476,"6,992,968,472.10",154632
"28-Jan-2021","EQ","90.45","92.95","90.25","91.40","92.85","92.60","91.94","120.20","71.15",24137903,"2,219,338,248.65",68594
"27-Jan-2021","EQ","93.00","93.80","90.25","93.45","91.50","91.40","91.25","120.20","71.15",27493562,"2,508,865,171.05",85705
"25-Jan-2021","EQ","97.00","97.50","93.15","95.70","93.45","93.45","94.36","120.20","71.15",22533235,"2,126,292,103.55",79755
"22-Jan-2021","EQ","96.50","97.35","95.25","96.70","95.75","95.70","96.12","121.65","71.15",22504208,"2,163,152,644.25",70242
"21-Jan-2021","EQ","98.20","99.60","96.20","98.30","97.15","96.70","98.28","121.65","71.15",25634853,"2,519,514,443.85",88996
