"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","1,526.30","1,565.00","1,503.15","1,524.20","1,513.95","1,514.00","1,542.99","1,593.00","661.00",4885349,"7,538,026,338.10",147137
"10-Mar-2021","EQ","1,523.00","1,534.75","1,507.50","1,508.30","1,523.20","1,524.20","1,524.49","1,593.00","661.00",2210547,"3,369,946,511.50",83581
"09-Mar-2021","EQ","1,525.00","1,532.30","1,491.80","1,515.20","1,510.00","1,508.30","1,511.90","1,593.00","661.00",3779948,"5,714,892,250.55",139247
"08-Mar-2021","EQ","1,478.00","1,525.00","1,470.00","1,463.55","1,513.65","1,515.20","1,510.82","1,593.00","661.00",4150049,"6,269,962,404.00",199692
"05-Mar-2021","EQ","1,453.60","1,477.20","1,439.10","1,462.60","1,463.15","1,463.55","1,461.13","1,593.00","661.00",3306902,"4,831,823,000.80",129476
"04-Mar-2021","EQ","1,473.00","1,494.35","1,458.00","1,496.90","1,464.00","1,462.60","1,467.29","1,593.00","661.00",3530366,"5,180,057,580.05",127957
"03-Mar-2021","EQ","1,493.50","1,510.00","1,481.35","1,485.65","1,498.00","1,496.90","1,493.49","1,593.00","661.00",2184001,"3,261,780,515.65",79587
"02-Mar-2021","EQ","1,479.30","1,489.65","1,458.15","1,472.85","1,486.05","1,485.65","1,479.22","1,593.00","661.00",2089473,"3,090,794,096.35",89535
"01-Mar-2021","EQ","1,456.00","1,486.00","1,438.20","1,442.50","1,473.50","1,472.85","1,466.78","1,593.00","661.00",2494481,"3,658,849,365.60",103263
"26-Feb-2021","EQ","1,482.00","1,493.50","1,435.15","1,506.45","1,441.50","1,442.50","1,457.21","1,593.00","661.00",5579058,"8,129,834,147.95",190911
"25-Feb-2021","EQ","1,534.00","1,540.60","1,502.00","1,526.60","1,510.00","1,506.45","1,517.25","1,593.00","661.00",3168105,"4,806,814,058.00",121478
"24-Feb-2021","EQ","1,486.70","1,532.00","1,486.70","1,486.30","1,523.00","1,526.60","1,510.35","1,593.00","661.00",2380414,"3,595,263,407.65",71210
"23-Feb-2021","EQ","1,462.00","1,498.00","1,460.00","1,452.20","1,489.95","1,486.30","1,485.01","1,593.00","661.00",3733776,"5,544,691,616.45",127344
"22-Feb-2021","EQ","1,510.90","1,511.95","1,447.10","1,508.80","1,453.70","1,452.20","1,464.40","1,593.00","661.00",6168108,"9,032,579,008.20",260434
"19-Feb-2021","EQ","1,523.85","1,547.00","1,498.85","1,524.60","1,512.00","1,508.80","1,526.02","1,593.00","661.00",3044240,"4,645,560,095.25",94865
"18-Feb-2021","EQ","1,542.20","1,551.20","1,515.15","1,548.35","1,523.80","1,524.60","1,531.59","1,593.00","661.00",2446843,"3,747,551,431.70",107942
"17-Feb-2021","EQ","1,544.00","1,567.00","1,533.00","1,549.45","1,549.95","1,548.35","1,553.55","1,593.00","661.00",2340184,"3,635,582,259.50",74685
"16-Feb-2021","EQ","1,540.00","1,574.00","1,539.00","1,537.65","1,550.00","1,549.45","1,557.37","1,593.00","661.00",3838556,"5,978,068,347.80",169357
"15-Feb-2021","EQ","1,527.00","1,544.00","1,521.35","1,521.35","1,534.15","1,537.65","1,534.34","1,593.00","661.00",1917477,"2,942,058,185.85",84161
"12-Feb-2021","EQ","1,535.00","1,544.00","1,516.10","1,530.50","1,521.00","1,521.35","1,529.84","1,593.00","661.00",1867284,"2,856,642,781.35",69363
"11-Feb-2021","EQ","1,549.40","1,559.90","1,526.55","1,552.85","1,533.00","1,530.50","1,537.02","1,593.00","661.00",2720190,"4,180,982,983.10",88704
"10-Feb-2021","EQ","1,560.00","1,564.00","1,528.70","1,566.45","1,552.00","1,552.85","1,547.99","1,593.00","661.00",2578777,"3,991,931,115.35",98508
"09-Feb-2021","EQ","1,557.00","1,574.50","1,545.00","1,551.80","1,565.00","1,566.45","1,561.75","1,593.00","661.00",3825206,"5,974,030,341.65",135694
"08-Feb-2021","EQ","1,521.15","1,570.00","1,520.00","1,516.50","1,553.00","1,551.80","1,552.37","1,593.00","661.00",5223019,"8,108,042,770.20",163234
"05-Feb-2021","EQ","1,534.40","1,547.00","1,511.10","1,529.80","1,515.70","1,516.50","1,528.85","1,593.00","661.00",3270494,"5,000,082,762.00",133202
"04-Feb-2021","EQ","1,525.00","1,550.00","1,510.00","1,528.55","1,526.00","1,529.80","1,535.39","1,593.00","661.00",3957579,"6,076,425,704.15",135568
"03-Feb-2021","EQ","1,530.00","1,558.00","1,505.00","1,520.20","1,527.00","1,528.55","1,538.53","1,593.00","661.00",6197782,"9,535,473,525.80",206869
"02-Feb-2021","EQ","1,474.00","1,593.00","1,474.00","1,448.85","1,523.05","1,520.20","1,533.27","1,593.00","661.00",14349665,"22,001,863,621.75",411313
"01-Feb-2021","EQ","1,345.75","1,462.00","1,337.20","1,334.70","1,458.75","1,448.85","1,405.46","1,462.00","661.00",11317043,"15,905,616,183.25",324331
"29-Jan-2021","EQ","1,362.00","1,369.00","1,325.10","1,345.35","1,338.00","1,334.70","1,339.99","1,396.40","661.00",5130876,"6,875,298,194.80",148123
"28-Jan-2021","EQ","1,344.70","1,365.10","1,340.00","1,359.85","1,347.25","1,345.35","1,351.06","1,396.40","661.00",2962948,"4,003,127,768.70",110084
