"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","905.05","936.30","905.00","940.75","915.70","914.20","918.45","983.75","519.40",28967831,"26,605,439,295.90",311829
"10-Mar-2021","EQ","973.70","974.00","936.00","971.30","937.50","940.75","951.04","983.75","519.40",2362998,"2,247,301,713.45",69981
"09-Mar-2021","EQ","950.00","983.75","939.00","923.85","969.80","971.30","967.45","983.75","519.40",11031435,"10,672,330,087.70",274030
"08-Mar-2021","EQ","903.60","930.65","901.70","903.55","929.00","923.85","916.59","954.50","519.40",1396479,"1,279,993,778.30",54919
"05-Mar-2021","EQ","910.00","915.00","894.95","915.90","903.00","903.55","903.85","954.50","519.40",1268992,"1,146,976,417.55",58550
"04-Mar-2021","EQ","899.70","924.80","892.40","906.45","915.00","915.90","916.79","954.50","519.40",3140379,"2,879,068,010.00",58760
"03-Mar-2021","EQ","888.00","910.00","883.50","879.15","906.95","906.45","899.01","954.50","519.40",2127137,"1,912,317,949.95",68703
"02-Mar-2021","EQ","876.75","886.00","870.50","876.40","885.30","879.15","878.43","954.50","519.40",1583910,"1,391,350,204.40",51328
"01-Mar-2021","EQ","860.00","879.00","852.20","866.90","875.60","876.40","862.48","954.50","519.40",2648545,"2,284,306,142.15",52594
"26-Feb-2021","EQ","860.00","878.95","858.05","872.40","863.95","866.90","866.85","954.50","519.40",2636891,"2,285,781,951.75",73363
"25-Feb-2021","EQ","873.20","882.90","869.70","871.55","875.00","872.40","877.05","954.50","519.40",1885254,"1,653,452,875.10",49795
"24-Feb-2021","EQ","870.10","875.90","852.70","869.70","872.80","871.55","867.81","954.50","519.40",683427,"593,088,105.80",28894
"23-Feb-2021","EQ","853.00","874.40","849.00","849.05","869.00","869.70","864.64","954.50","519.40",1480977,"1,280,515,395.95",46526
"22-Feb-2021","EQ","880.00","885.00","845.10","881.50","847.95","849.05","859.15","954.50","519.40",1810985,"1,555,914,733.90",57921
"19-Feb-2021","EQ","898.40","899.15","874.25","893.50","882.70","881.50","886.64","954.50","519.40",1120800,"993,741,782.20",29696
"18-Feb-2021","EQ","880.10","898.85","878.70","877.15","893.95","893.50","891.39","954.50","519.40",2387930,"2,128,566,107.40",105944
"17-Feb-2021","EQ","870.00","883.15","870.00","872.00","875.00","877.15","878.32","954.50","519.40",1496973,"1,314,815,105.25",34902
"16-Feb-2021","EQ","877.25","888.30","869.00","877.25","872.70","872.00","877.35","954.50","519.40",1634864,"1,434,342,824.25",45476
"15-Feb-2021","EQ","898.00","901.15","875.00","896.85","876.50","877.25","882.93","954.50","519.40",1715171,"1,514,377,433.65",65973
"12-Feb-2021","EQ","908.00","913.50","893.45","907.35","899.00","896.85","905.05","960.45","519.40",984794,"891,283,076.25",30879
"11-Feb-2021","EQ","909.80","921.90","905.55","911.35","907.55","907.35","912.65","960.45","519.40",2184819,"1,993,969,439.25",62777
"10-Feb-2021","EQ","898.00","915.25","894.00","888.70","911.00","911.35","908.15","960.45","519.40",4993209,"4,534,581,525.75",121901
"09-Feb-2021","EQ","869.00","895.00","863.00","859.10","893.00","888.70","885.04","960.45","519.40",4311868,"3,816,176,999.30",130595
"08-Feb-2021","EQ","865.00","871.70","857.00","864.20","858.80","859.10","862.93","960.45","519.40",1899676,"1,639,294,258.00",74475
"05-Feb-2021","EQ","866.75","870.00","853.65","863.90","864.85","864.20","861.19","960.45","519.40",1766235,"1,521,067,271.30",65549
