"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","27,878.00","27,980.00","27,541.00","27,555.80","27,630.00","27,701.50","27,713.65","29,090.00","15,410.00",43864,"1,215,631,389.25",15175
"10-Mar-2021","EQ","27,538.90","27,693.85","27,300.00","27,313.15","27,580.00","27,555.80","27,483.05","29,090.00","15,410.00",29812,"819,324,580.55",9961
"09-Mar-2021","EQ","27,445.00","27,980.00","27,151.85","27,185.05","27,250.00","27,313.15","27,551.34","29,090.00","15,410.00",59204,"1,631,149,690.60",18235
"08-Mar-2021","EQ","27,900.00","28,486.95","27,093.20","27,848.60","27,240.00","27,185.05","27,698.57","29,090.00","15,410.00",57156,"1,583,139,475.15",18881
"05-Mar-2021","EQ","28,300.50","28,894.85","27,740.95","28,676.60","27,850.00","27,848.60","28,271.57","29,090.00","15,410.00",65557,"1,853,399,458.25",22241
"04-Mar-2021","EQ","27,450.00","28,850.00","27,335.05","27,695.25","28,500.00","28,676.60","28,284.49","29,090.00","15,410.00",83170,"2,352,420,986.25",22747
"03-Mar-2021","EQ","27,755.50","28,159.55","27,550.75","27,658.75","27,678.90","27,695.25","27,826.51","29,090.00","15,410.00",40649,"1,131,119,983.05",13219
"02-Mar-2021","EQ","27,710.00","27,800.00","27,280.05","27,706.95","27,755.00","27,658.75","27,542.55","29,090.00","15,410.00",39347,"1,083,716,555.05",15176
"01-Mar-2021","EQ","26,600.50","27,832.50","26,600.50","26,501.70","27,665.00","27,706.95","27,249.12","29,090.00","15,410.00",58805,"1,602,384,413.60",19449
"26-Feb-2021","EQ","27,450.90","27,720.50","26,169.90","27,450.90","26,236.10","26,501.70","26,903.39","29,090.00","15,410.00",76766,"2,065,265,500.45",25498
"25-Feb-2021","EQ","27,553.00","27,879.90","27,238.30","27,553.00","27,485.35","27,450.90","27,509.62","29,090.00","15,410.00",52154,"1,434,736,624.95",15248
"24-Feb-2021","EQ","27,313.25","27,849.95","26,500.00","27,260.35","27,650.00","27,553.00","27,269.47","29,090.00","15,410.00",17368,"473,616,169.60",6474
"23-Feb-2021","EQ","27,165.00","27,532.05","26,770.00","27,090.85","27,379.80","27,260.35","27,151.82","29,090.00","15,410.00",46471,"1,261,772,420.75",14764
"22-Feb-2021","EQ","27,615.00","27,750.00","26,927.80","27,542.45","26,947.60","27,090.85","27,354.64","29,090.00","15,410.00",28369,"776,023,708.75",10339
"19-Feb-2021","EQ","27,649.95","27,857.45","26,753.35","27,623.35","27,529.00","27,542.45","27,508.45","29,090.00","15,410.00",50262,"1,382,629,723.25",18216
"18-Feb-2021","EQ","28,580.00","28,580.00","27,358.60","28,268.50","27,740.00","27,623.35","27,801.86","29,090.00","15,410.00",63910,"1,776,816,884.05",20322
"17-Feb-2021","EQ","28,569.40","28,840.45","28,150.05","28,597.40","28,340.00","28,268.50","28,508.59","29,090.00","15,410.00",41156,"1,173,299,374.80",11493
"16-Feb-2021","EQ","28,653.25","29,090.00","28,426.10","28,653.25","28,720.00","28,597.40","28,784.85","29,090.00","15,410.00",70319,"2,024,121,952.05",22650
"15-Feb-2021","EQ","28,184.95","28,840.00","28,101.35","27,965.85","28,639.95","28,653.25","28,519.72","28,840.00","15,410.00",61303,"1,748,344,235.70",17348
"12-Feb-2021","EQ","28,200.00","28,475.00","27,800.00","28,344.20","28,000.50","27,965.85","28,110.19","28,599.10","15,410.00",57620,"1,619,708,874.45",15452
"11-Feb-2021","EQ","28,268.00","28,500.00","28,010.25","28,293.75","28,150.15","28,344.20","28,249.27","28,599.10","15,410.00",54109,"1,528,539,800.35",15077
"10-Feb-2021","EQ","28,245.00","28,596.00","27,853.05","28,165.80","28,270.00","28,293.75","28,206.36","28,599.10","15,410.00",86564,"2,441,655,314.40",23159
"09-Feb-2021","EQ","27,360.10","28,599.10","27,360.10","28,022.20","28,250.50","28,165.80","28,154.19","28,599.10","15,410.00",137375,"3,867,681,857.00",30898
"08-Feb-2021","EQ","26,907.15","28,287.50","26,750.05","26,722.85","27,950.05","28,022.20","27,831.80","28,287.50","15,410.00",183938,"5,119,326,326.35",32393
"05-Feb-2021","EQ","27,112.50","27,286.95","26,614.05","27,091.00","26,722.00","26,722.85","26,938.49","27,329.25","15,410.00",63260,"1,704,129,143.30",19678
"04-Feb-2021","EQ","25,990.00","27,329.25","25,607.60","25,994.40","27,250.00","27,091.00","26,712.85","27,329.25","15,410.00",135104,"3,609,012,962.60",35433
"03-Feb-2021","EQ","26,400.00","26,579.00","25,731.05","26,432.55","26,000.00","25,994.40","26,170.70","26,650.00","15,410.00",110699,"2,897,070,002.50",30301
"02-Feb-2021","EQ","24,543.60","26,650.00","24,200.55","24,543.60","26,333.50","26,432.55","25,942.60","26,650.00","15,410.00",188876,"4,899,933,621.85",48663
"01-Feb-2021","EQ","23,100.00","24,690.45","22,711.95","22,773.35","24,600.00","24,543.60","23,713.69","25,979.50","15,410.00",112280,"2,662,573,190.35",30036
"29-Jan-2021","EQ","23,250.00","23,294.55","22,531.00","23,106.30","22,550.00","22,773.35","22,966.73","25,979.50","15,410.00",58005,"1,332,184,928.50",17700
"28-Jan-2021","EQ","22,745.00","23,189.85","22,670.65","22,820.20","22,950.30","23,106.30","22,948.51","25,979.50","15,410.00",41756,"958,237,951.60",16349
"27-Jan-2021","EQ","23,270.00","23,399.55","22,745.20","23,255.65","22,919.00","22,820.20","22,987.40","25,979.50","15,410.00",62620,"1,439,471,208.35",18412
"25-Jan-2021","EQ","24,050.00","24,050.00","23,160.80","23,694.30","23,225.00","23,255.65","23,538.36","25,979.50","15,410.00",55464,"1,305,531,741.40",17693
"22-Jan-2021","EQ","23,799.00","24,142.00","23,612.45","23,719.00","23,710.25","23,694.30","23,894.24","25,979.50","15,410.00",52209,"1,247,494,458.70",18390
