"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","628.00","629.15","611.50","626.00","612.30","613.60","619.80","654.40","312.00",4264170,"2,642,944,356.45",74203
"10-Mar-2021","EQ","618.00","627.90","615.35","612.60","624.35","626.00","622.07","654.40","312.00",5825924,"3,624,108,916.35",97528
"09-Mar-2021","EQ","618.00","620.90","607.50","614.80","612.00","612.60","613.75","654.40","312.00",4035628,"2,476,863,214.05",81054
"08-Mar-2021","EQ","611.50","621.90","611.30","611.20","614.35","614.80","616.64","654.40","312.00",4554461,"2,808,484,810.05",76021
"05-Mar-2021","EQ","619.45","619.45","606.90","618.95","611.00","611.20","613.05","654.40","312.00",6127488,"3,756,438,616.70",110170
"04-Mar-2021","EQ","622.00","636.75","616.00","624.35","618.45","618.95","626.37","654.40","312.00",11530735,"7,222,511,383.30",145160
"03-Mar-2021","EQ","616.50","625.40","612.25","614.20","624.50","624.35","620.06","654.40","312.00",6626297,"4,108,703,932.80",100125
"02-Mar-2021","EQ","609.00","616.35","604.50","604.45","614.30","614.20","610.54","654.40","312.00",4776776,"2,916,418,360.05",84381
"01-Mar-2021","EQ","600.00","610.80","597.05","594.60","606.00","604.45","602.93","654.40","312.00",5274758,"3,180,312,580.10",93184
"26-Feb-2021","EQ","604.95","621.35","590.00","609.55","595.45","594.60","608.62","654.40","312.00",15404415,"9,375,387,497.60",228435
"25-Feb-2021","EQ","606.40","618.90","602.70","601.45","611.15","609.55","613.67","654.40","312.00",6261754,"3,842,675,523.95",115363
"24-Feb-2021","EQ","607.10","609.35","595.85","604.05","600.40","601.45","602.88","654.40","312.00",3296243,"1,987,223,170.30",68030
"23-Feb-2021","EQ","595.00","608.35","592.00","595.30","603.95","604.05","603.20","654.40","312.00",7564187,"4,562,727,889.25",133379
"22-Feb-2021","EQ","608.00","610.85","590.40","607.30","591.50","595.30","602.79","654.40","312.00",5330343,"3,213,067,747.50",103930
"19-Feb-2021","EQ","615.90","622.30","601.20","616.05","608.00","607.30","613.50","654.40","312.00",7301975,"4,479,763,718.75",104227
"18-Feb-2021","EQ","622.00","627.25","614.10","621.25","616.00","616.05","619.38","654.40","312.00",5633766,"3,489,459,823.75",116906
"17-Feb-2021","EQ","628.70","632.40","619.80","631.15","621.45","621.25","625.16","654.40","312.00",4700733,"2,938,690,933.65",84862
"16-Feb-2021","EQ","631.00","634.50","623.00","627.50","630.15","631.15","629.07","654.40","312.00",6137454,"3,860,889,391.55",97812
"15-Feb-2021","EQ","632.00","637.30","623.30","627.15","627.45","627.50","630.42","654.40","312.00",7310676,"4,608,807,100.75",96803
"12-Feb-2021","EQ","654.40","654.40","622.35","643.65","628.50","627.15","633.45","654.40","312.00",15471776,"9,800,604,801.40",198400
"11-Feb-2021","EQ","622.00","648.75","622.00","627.10","643.60","643.65","639.84","648.75","312.00",11433578,"7,315,697,298.60",142011
"10-Feb-2021","EQ","623.05","631.55","614.10","623.60","630.85","627.10","621.62","648.40","312.00",6902162,"4,290,525,924.20",116211
"09-Feb-2021","EQ","631.90","639.25","621.00","634.65","623.05","623.60","631.12","648.40","312.00",5794015,"3,656,738,980.35",103088
"08-Feb-2021","EQ","640.90","644.85","632.55","634.75","633.95","634.65","638.49","648.40","312.00",6479801,"4,137,302,493.70",113802
"05-Feb-2021","EQ","633.50","644.25","623.15","631.50","637.00","634.75","634.95","648.40","312.00",10981738,"6,972,874,190.20",162460
"04-Feb-2021","EQ","632.50","641.00","626.25","629.20","632.95","631.50","634.75","648.40","312.00",7926593,"5,031,419,340.85",161793
"03-Feb-2021","EQ","612.50","648.40","610.50","609.45","628.55","629.20","634.62","648.40","312.00",23788455,"15,096,527,157.45",322256
"02-Feb-2021","EQ","596.95","616.90","591.50","590.15","609.85","609.45","605.09","628.00","312.00",15788247,"9,553,281,045.35",216023
"01-Feb-2021","EQ","596.00","599.40","579.60","586.20","593.00","590.15","589.43","628.00","312.00",12621971,"7,439,716,431.85",219511
"29-Jan-2021","EQ","568.00","600.00","554.10","564.35","588.40","586.20","579.58","628.00","312.00",22539938,"13,063,740,256.00",307151
"28-Jan-2021","EQ","554.90","574.50","550.40","569.80","563.45","564.35","563.28","628.00","312.00",9863454,"5,555,891,511.45",141876
"27-Jan-2021","EQ","585.90","585.90","563.75","586.40","569.20","569.80","572.43","628.00","312.00",8534047,"4,885,169,910.95",147203
"25-Jan-2021","EQ","577.10","594.00","567.00","575.20","584.45","586.40","584.52","628.00","312.00",8149590,"4,763,638,621.60",127138
"22-Jan-2021","EQ","582.90","586.95","570.60","582.90","575.50","575.20","578.59","628.00","312.00",5591688,"3,235,315,874.00",105499
"21-Jan-2021","EQ","598.00","598.75","580.65","594.70","585.60","582.90","589.79","628.00","312.00",4546393,"2,681,408,607.70",73262
"20-Jan-2021","EQ","601.20","603.60","592.95","596.55","594.00","594.70","597.37","628.00","312.00",5182972,"3,096,139,668.65",72355
"19-Jan-2021","EQ","586.90","603.00","583.35","581.45","602.00","596.55","590.97","628.00","312.00",5500391,"3,250,558,740.70",84876
"18-Jan-2021","EQ","604.10","607.35","578.45","604.30","579.95","581.45","587.61","628.00","312.00",7414570,"4,356,842,561.30",130058
"15-Jan-2021","EQ","609.00","616.80","598.10","607.05","604.00","604.30","607.82","628.00","312.00",8389544,"5,099,354,128.70",123609
"14-Jan-2021","EQ","602.30","611.65","596.40","602.30","606.95","607.05","603.96","628.00","312.00",6730284,"4,064,849,636.85",81864
"13-Jan-2021","EQ","611.00","614.50","597.25","609.65","602.45","602.30","606.50","628.00","312.00",6186661,"3,752,216,257.45",94387
"12-Jan-2021","EQ","621.00","623.90","607.05","621.00","609.95","609.65","612.20","628.00","312.00",6747035,"4,130,515,081.55",100024
"11-Jan-2021","EQ","623.70","628.00","614.05","620.80","621.60","621.00","621.88","628.00","312.00",7516087,"4,674,068,456.30",131129
"08-Jan-2021","EQ","607.00","622.80","604.00","601.90","620.05","620.80","617.15","622.80","312.00",11451416,"7,067,188,082.15",134402
"07-Jan-2021","EQ","606.05","608.00","598.00","605.30","601.60","601.90","602.76","610.95","312.00",4555702,"2,745,995,426.65",69349
"06-Jan-2021","EQ","604.10","610.95","596.15","603.45","604.00","605.30","605.10","610.95","312.00",6422080,"3,885,999,085.25",76159
"05-Jan-2021","EQ","608.45","608.70","600.00","604.40","602.95","603.45","604.30","609.45","312.00",7790158,"4,707,613,797.20",94925
"04-Jan-2021","EQ","600.00","609.45","595.20","596.25","604.25","604.40","603.32","609.45","312.00",11329298,"6,835,213,567.15",131121
"01-Jan-2021","EQ","592.50","599.75","585.85","592.35","597.70","596.25","593.06","599.75","312.00",8229768,"4,880,771,793.15",111042
"31-Dec-2020","EQ","584.65","594.90","582.05","584.00","590.45","592.35","588.00","599.45","312.00",8835267,"5,195,130,378.55",99363
