"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","740.00","745.00","714.00","724.50","720.85","719.95","729.98","782.50","250.85",16121409,"11,768,346,627.30",197085
"10-Mar-2021","EQ","714.90","729.95","703.05","706.75","723.10","724.50","715.19","782.50","250.85",19685860,"14,079,097,741.95",199849
"09-Mar-2021","EQ","745.00","750.95","702.25","737.25","708.50","706.75","724.10","782.50","250.85",19556438,"14,160,911,349.60",233561
"08-Mar-2021","EQ","743.95","751.20","735.05","733.30","735.65","737.25","743.98","782.50","250.85",10614596,"7,897,053,394.60",127290
"05-Mar-2021","EQ","748.50","756.00","727.00","757.95","735.30","733.30","741.31","782.50","250.85",16881960,"12,514,681,812.05",209294
"04-Mar-2021","EQ","751.00","766.90","743.65","777.15","757.60","757.95","757.24","782.50","250.85",22873822,"17,321,058,013.55",254646
"03-Mar-2021","EQ","741.00","782.50","741.00","735.50","774.80","777.15","772.91","782.50","250.85",28842835,"22,292,977,320.70",330061
"02-Mar-2021","EQ","730.45","739.75","723.15","730.40","735.00","735.50","733.92","753.00","250.85",11113399,"8,156,344,541.25",127895
"01-Mar-2021","EQ","724.00","738.25","711.35","715.15","730.90","730.40","727.55","753.00","250.85",14058646,"10,228,368,627.10",168224
"26-Feb-2021","EQ","725.00","741.60","711.10","742.90","714.40","715.15","722.84","753.00","250.85",23551591,"17,024,148,014.00",266485
"25-Feb-2021","EQ","735.20","753.00","731.95","727.70","744.50","742.90","743.89","753.00","250.85",21901596,"16,292,369,953.50",249061
"24-Feb-2021","EQ","735.00","745.00","720.00","729.30","727.25","727.70","733.32","745.00","250.85",21676789,"15,896,063,821.90",257379
"23-Feb-2021","EQ","689.60","736.00","682.20","684.55","734.05","729.30","712.93","736.00","250.85",38907071,"27,737,881,117.25",396721
"22-Feb-2021","EQ","672.90","697.90","670.85","670.70","680.00","684.55","686.85","731.50","250.85",28149109,"19,334,301,377.25",314287
"19-Feb-2021","EQ","696.00","696.00","655.95","697.75","669.40","670.70","675.46","731.50","250.85",22392386,"15,125,221,823.40",234654
"18-Feb-2021","EQ","700.00","711.00","694.00","696.80","695.95","697.75","703.63","731.50","250.85",14856147,"10,453,237,241.55",162453
"17-Feb-2021","EQ","697.65","703.50","687.50","699.20","695.40","696.80","695.72","731.50","250.85",15957483,"11,101,975,793.90",164188
