"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","1,480.00","1,507.80","1,478.50","1,471.25","1,483.00","1,482.50","1,491.03","1,621.35","720.90",2631081,"3,923,025,779.35",86523
"10-Mar-2021","EQ","1,470.00","1,481.00","1,463.00","1,456.90","1,472.00","1,471.25","1,474.82","1,621.35","720.90",1257628,"1,854,769,964.35",50512
"09-Mar-2021","EQ","1,470.00","1,478.90","1,445.00","1,456.75","1,457.35","1,456.90","1,462.16","1,621.35","720.90",941590,"1,376,756,987.50",35615
"08-Mar-2021","EQ","1,475.00","1,481.25","1,451.00","1,474.20","1,455.00","1,456.75","1,466.83","1,621.35","720.90",1060584,"1,555,700,736.95",48830
"05-Mar-2021","EQ","1,465.00","1,493.00","1,462.20","1,470.50","1,474.00","1,474.20","1,479.99","1,621.35","720.90",1954113,"2,892,076,810.25",60183
"04-Mar-2021","EQ","1,452.00","1,487.65","1,450.55","1,474.60","1,469.00","1,470.50","1,474.87","1,621.35","720.90",1822476,"2,687,910,260.00",53678
"03-Mar-2021","EQ","1,472.00","1,481.65","1,466.15","1,471.15","1,470.05","1,474.60","1,475.03","1,621.35","720.90",1227772,"1,810,994,635.50",45299
"02-Mar-2021","EQ","1,469.00","1,474.00","1,450.00","1,452.15","1,469.65","1,471.15","1,462.49","1,621.35","720.90",1293306,"1,891,451,400.05",48795
"01-Mar-2021","EQ","1,421.50","1,466.00","1,416.60","1,406.90","1,454.00","1,452.15","1,451.75","1,621.35","720.90",1962042,"2,848,387,271.85",75964
"26-Feb-2021","EQ","1,420.00","1,431.95","1,403.10","1,434.45","1,409.95","1,406.90","1,413.06","1,621.35","720.90",2715597,"3,837,294,538.85",87479
"25-Feb-2021","EQ","1,460.00","1,462.95","1,430.50","1,451.85","1,440.25","1,434.45","1,441.18","1,621.35","720.90",1967386,"2,835,356,164.70",71139
"24-Feb-2021","EQ","1,424.05","1,474.00","1,424.05","1,424.05","1,451.00","1,451.85","1,441.40","1,621.35","720.90",1143204,"1,647,816,286.85",56554
"23-Feb-2021","EQ","1,415.00","1,436.95","1,400.15","1,405.25","1,426.80","1,424.05","1,423.20","1,621.35","720.90",1871135,"2,662,990,378.80",74751
"22-Feb-2021","EQ","1,425.00","1,433.10","1,396.00","1,425.55","1,405.50","1,405.25","1,416.14","1,621.35","720.90",1931189,"2,734,842,427.55",93183
"19-Feb-2021","EQ","1,434.00","1,444.90","1,412.80","1,433.00","1,430.00","1,425.55","1,429.77","1,621.35","720.90",2543997,"3,637,342,910.65",82173
"18-Feb-2021","EQ","1,465.10","1,471.90","1,429.00","1,460.40","1,435.50","1,433.00","1,443.36","1,621.35","720.90",2686046,"3,876,938,624.90",94013
"17-Feb-2021","EQ","1,469.40","1,483.00","1,449.50","1,471.85","1,463.80","1,460.40","1,469.52","1,621.35","720.90",2096959,"3,081,523,345.60",66724
