"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","431.50","432.80","422.10","426.70","425.55","425.20","427.39","467.45","159.40",8960126,"3,829,473,771.10",96760
"10-Mar-2021","EQ","426.10","430.70","423.00","419.20","425.80","426.70","427.09","467.45","159.40",17291368,"7,384,953,020.05",158961
"09-Mar-2021","EQ","419.80","422.80","410.05","416.90","422.40","419.20","416.27","467.45","159.40",11905629,"4,955,994,708.45",126287
"08-Mar-2021","EQ","425.10","425.15","415.55","420.85","417.10","416.90","418.53","467.45","159.40",12354838,"5,170,931,708.70",148931
"05-Mar-2021","EQ","440.00","440.00","417.00","438.80","422.00","420.85","426.19","467.45","159.40",43931172,"18,723,184,459.55",404654
"04-Mar-2021","EQ","428.90","444.30","427.50","435.50","439.00","438.80","439.03","467.45","159.40",12963797,"5,691,471,841.40",163014
"03-Mar-2021","EQ","433.00","436.65","428.25","430.40","434.75","435.50","433.26","467.45","159.40",8782452,"3,805,077,337.70",105714
"02-Mar-2021","EQ","419.70","433.10","418.25","414.40","433.00","430.40","426.86","467.45","159.40",14875234,"6,349,661,834.05",138374
"01-Mar-2021","EQ","411.00","418.70","409.20","410.30","416.00","414.40","414.87","467.45","159.40",6421696,"2,664,191,687.05",73357
"26-Feb-2021","EQ","417.95","419.85","408.00","421.30","409.10","410.30","413.09","467.45","159.40",11731941,"4,846,335,181.35",134357
"25-Feb-2021","EQ","423.10","429.00","420.45","423.10","421.95","421.30","424.69","467.45","159.40",9110392,"3,869,135,577.75",87331
"24-Feb-2021","EQ","417.70","425.80","414.75","415.50","423.90","423.10","419.20","467.45","159.40",5060297,"2,121,297,703.50",58620
"23-Feb-2021","EQ","419.70","426.00","414.30","418.70","415.95","415.50","419.17","467.45","159.40",8992353,"3,769,280,408.05",111306
"22-Feb-2021","EQ","430.70","432.85","416.00","429.95","417.90","418.70","422.91","467.45","159.40",10666087,"4,510,812,288.10",134823
"19-Feb-2021","EQ","433.15","435.75","426.10","432.95","430.60","429.95","431.28","467.45","159.40",8478666,"3,656,686,491.10",86014
"18-Feb-2021","EQ","430.30","436.65","429.35","430.20","433.10","432.95","432.81","467.45","159.40",8385736,"3,629,411,940.05",71721
"17-Feb-2021","EQ","435.90","439.00","428.50","437.55","430.30","430.20","432.63","467.45","159.40",7390192,"3,197,186,846.10",80438
"16-Feb-2021","EQ","446.00","447.80","433.80","439.70","437.85","437.55","440.41","467.45","159.40",12453798,"5,484,779,615.00",104505
"15-Feb-2021","EQ","444.60","444.90","436.80","442.00","440.60","439.70","440.59","467.45","159.40",7844877,"3,456,408,489.20",70216
"12-Feb-2021","EQ","440.00","449.20","439.60","437.00","441.70","442.00","444.59","467.45","159.40",19280834,"8,572,128,073.15",164996
"11-Feb-2021","EQ","439.00","440.50","433.40","439.00","440.20","437.00","436.02","467.45","159.40",9237026,"4,027,518,160.70",77279
"10-Feb-2021","EQ","442.00","444.15","435.00","439.35","439.70","439.00","438.83","467.45","159.40",10607735,"4,655,001,302.00",86594
"09-Feb-2021","EQ","440.25","451.75","435.20","435.30","441.50","439.35","445.17","467.45","159.40",29474830,"13,121,220,479.85",232757
"08-Feb-2021","EQ","430.35","437.70","426.30","425.55","436.30","435.30","431.95","467.45","159.40",12516340,"5,406,378,731.25",114768
"05-Feb-2021","EQ","432.00","433.40","420.55","429.90","426.50","425.55","424.89","467.45","159.40",8679026,"3,687,625,859.55",88201
"04-Feb-2021","EQ","433.50","436.90","428.25","433.50","430.40","429.90","430.85","467.45","159.40",7193299,"3,099,248,262.30",74478
"03-Feb-2021","EQ","430.20","439.95","430.20","428.35","435.00","433.50","436.37","467.45","159.40",9897666,"4,319,033,021.40",103571
